Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	16
Fine Gain:	1.0
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	1441.74
Elapsed Live Time:	1212.78
Start Time:	November 12, 2020, 02:23:40
End Time:	November 12, 2020, 02:47:42
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		3
1		6
2		40
3		145
4		8012
5		14901
6		1204
7		1581
8		3688
9		12992
10		46416
11		59915
12		73444
13		85600
14		99025
15		110056
16		116749
17		116841
18		112076
19		105260
20		100861
21		96414
22		93041
23		89429
24		86451
25		84611
26		83386
27		83003
28		83223
29		81617
30		80755
31		78904
32		76309
33		73918
34		71887
35		69880
36		66983
37		65812
38		63783
39		62140
40		60755
41		59164
42		57925
43		56896
44		55875
45		54730
46		53595
47		52551
48		51792
49		51016
50		50297
51		48914
52		48221
53		47341
54		46778
55		45780
56		44769
57		43897
58		43002
59		42767
60		41554
61		40674
62		39661
63		39074
64		38292
65		37457
66		37106
67		36650
68		35654
69		35477
70		34872
71		34434
72		34055
73		33996
74		33336
75		33230
76		33354
77		32918
78		32581
79		32260
80		31992
81		31808
82		31837
83		31574
84		31803
85		31288
86		31024
87		30795
88		30838
89		30648
90		30589
91		30336
92		30063
93		29867
94		29628
95		29436
96		29236
97		28687
98		28259
99		27903
100		27686
101		27132
102		26885
103		26255
104		25920
105		25496
106		25070
107		25047
108		24502
109		24259
110		23910
111		23695
112		23528
113		23418
114		23272
115		23661
116		23351
117		23286
118		23340
119		23603
120		23581
121		23761
122		23932
123		24222
124		24190
125		24142
126		24417
127		23860
128		24304
129		23522
130		23615
131		23245
132		22250
133		22028
134		21617
135		21053
136		20360
137		19551
138		19136
139		18590
140		17872
141		17569
142		17078
143		16843
144		16353
145		16018
146		16052
147		15529
148		15392
149		15391
150		15171
151		15055
152		14948
153		14965
154		15068
155		14717
156		14847
157		14846
158		14790
159		14678
160		14505
161		14262
162		14263
163		14282
164		14088
165		14074
166		13904
167		13691
168		13640
169		13693
170		13634
171		13378
172		13235
173		12912
174		12869
175		12735
176		12766
177		12608
178		12623
179		12517
180		12068
181		12150
182		12228
183		11934
184		11942
185		12029
186		11782
187		11655
188		11742
189		11486
190		11569
191		11589
192		11207
193		11358
194		11324
195		11055
196		11084
197		10944
198		11020
199		10786
200		10991
201		10842
202		10715
203		10783
204		10412
205		10498
206		10503
207		10289
208		10347
209		10352
210		10251
211		10237
212		10155
213		10034
214		9906
215		9916
216		9937
217		10020
218		9932
219		9866
220		9635
221		9533
222		9558
223		9460
224		9442
225		9155
226		9187
227		9296
228		9180
229		9112
230		9062
231		9029
232		8849
233		8791
234		8883
235		8717
236		8812
237		8857
238		8692
239		8664
240		8613
241		8615
242		8465
243		8487
244		8533
245		8444
246		8680
247		8242
248		8345
249		8324
250		8252
251		8237
252		8270
253		8358
254		8232
255		8070
256		8186
257		8184
258		8029
259		7947
260		7947
261		7766
262		8065
263		7836
264		7875
265		7923
266		7890
267		7941
268		7830
269		7903
270		7860
271		7749
272		7769
273		7760
274		7667
275		7831
276		7740
277		7680
278		7675
279		7484
280		7548
281		7365
282		7555
283		7486
284		7586
285		7362
286		7526
287		7446
288		7391
289		7294
290		7550
291		7342
292		7399
293		7142
294		7296
295		7304
296		7334
297		7218
298		7096
299		7239
300		7054
301		7116
302		7253
303		7152
304		7014
305		7137
306		7156
307		6953
308		7098
309		7024
310		6924
311		6735
312		6894
313		6858
314		6793
315		6896
316		6835
317		6636
318		6836
319		6676
320		6726
321		6706
322		6660
323		6578
324		6614
325		6578
326		6671
327		6457
328		6622
329		6434
330		6466
331		6669
332		6426
333		6406
334		6272
335		6263
336		6473
337		6262
338		6210
339		6405
340		6409
341		6201
342		6361
343		6065
344		6230
345		6211
346		6183
347		6387
348		6206
349		6125
350		6028
351		6280
352		6183
353		6219
354		6142
355		6173
356		5957
357		6138
358		5930
359		6034
360		6047
361		6129
362		6057
363		6062
364		6013
365		6057
366		5893
367		6078
368		5930
369		5941
370		5947
371		5997
372		6063
373		6036
374		5926
375		5759
376		5842
377		5733
378		5938
379		5691
380		5758
381		5740
382		5717
383		5697
384		5723
385		5662
386		5646
387		5609
388		5588
389		5604
390		5675
391		5537
392		5563
393		5644
394		5584
395		5766
396		5584
397		5501
398		5514
399		5529
400		5607
401		5583
402		5467
403		5569
404		5591
405		5568
406		5643
407		5572
408		5672
409		5491
410		5576
411		5527
412		5679
413		5736
414		5539
415		5497
416		5538
417		5691
418		5681
419		5751
420		5783
421		5729
422		5718
423		5750
424		5742
425		5802
426		5737
427		5797
428		5808
429		5827
430		5816
431		5844
432		5877
433		5832
434		5927
435		5704
436		5799
437		5688
438		5800
439		5735
440		5818
441		5777
442		5802
443		5810
444		5741
445		5645
446		5849
447		5609
448		5655
449		5648
450		5663
451		5601
452		5600
453		5471
454		5431
455		5490
456		5541
457		5365
458		5402
459		5366
460		5253
461		5171
462		5329
463		5412
464		5140
465		5160
466		5308
467		5291
468		5075
469		5152
470		5065
471		5032
472		5053
473		5092
474		4979
475		4875
476		4921
477		4844
478		4841
479		4983
480		4814
481		4683
482		4712
483		4775
484		4743
485		4635
486		4643
487		4664
488		4500
489		4726
490		4615
491		4555
492		4507
493		4627
494		4600
495		4459
496		4512
497		4400
498		4490
499		4485
500		4447
501		4534
502		4378
503		4459
504		4441
505		4345
506		4519
507		4415
508		4486
509		4394
510		4485
511		4527
512		4464
513		4442
514		4493
515		4536
516		4570
517		4455
518		4678
519		4677
520		4794
521		4859
522		4947
523		4941
524		5018
525		5043
526		5103
527		5261
528		5205
529		5519
530		5540
531		5623
532		5760
533		5782
534		5900
535		5916
536		6090
537		6082
538		6275
539		6387
540		6537
541		6507
542		6726
543		6752
544		6929
545		6869
546		7029
547		6923
548		7149
549		7032
550		7299
551		7150
552		7400
553		7211
554		7185
555		7380
556		7219
557		7280
558		7104
559		7170
560		7121
561		7208
562		6920
563		6725
564		6796
565		6824
566		6761
567		6473
568		6420
569		6342
570		6235
571		6053
572		5974
573		5877
574		5664
575		5569
576		5362
577		5313
578		5034
579		5018
580		4772
581		4683
582		4546
583		4298
584		4271
585		4192
586		3962
587		3775
588		3702
589		3652
590		3381
591		3288
592		3283
593		3147
594		3015
595		2981
596		3023
597		2871
598		2724
599		2623
600		2544
601		2528
602		2495
603		2468
604		2383
605		2270
606		2364
607		2254
608		2225
609		2198
610		2068
611		2076
612		2096
613		2086
614		2062
615		2065
616		1984
617		2032
618		2036
619		1946
620		1939
621		1921
622		1981
623		1937
624		1920
625		1929
626		1900
627		1928
628		1982
629		1876
630		1937
631		1923
632		1989
633		1882
634		1863
635		1805
636		1858
637		1942
638		1886
639		1896
640		1876
641		1856
642		1867
643		1902
644		1817
645		1863
646		1803
647		1849
648		1920
649		1780
650		1824
651		1835
652		1863
653		1768
654		1875
655		1919
656		1843
657		1820
658		1880
659		1878
660		1849
661		1794
662		1836
663		1872
664		1803
665		1839
666		1769
667		1841
668		1801
669		1754
670		1766
671		1743
672		1717
673		1784
674		1735
675		1789
676		1796
677		1853
678		1742
679		1751
680		1713
681		1775
682		1751
683		1729
684		1766
685		1730
686		1783
687		1773
688		1712
689		1736
690		1792
691		1691
692		1681
693		1749
694		1683
695		1696
696		1760
697		1684
698		1695
699		1676
700		1769
701		1721
702		1742
703		1649
704		1669
705		1744
706		1692
707		1819
708		1728
709		1666
710		1723
711		1701
712		1707
713		1689
714		1755
715		1745
716		1749
717		1690
718		1713
719		1612
720		1694
721		1796
722		1696
723		1696
724		1742
725		1626
726		1683
727		1658
728		1695
729		1748
730		1672
731		1761
732		1758
733		1774
734		1722
735		1665
736		1704
737		1674
738		1699
739		1750
740		1768
741		1703
742		1709
743		1750
744		1777
745		1673
746		1648
747		1757
748		1635
749		1702
750		1723
751		1732
752		1686
753		1646
754		1722
755		1682
756		1776
757		1719
758		1703
759		1663
760		1708
761		1696
762		1660
763		1640
764		1784
765		1693
766		1697
767		1751
768		1607
769		1643
770		1728
771		1704
772		1674
773		1713
774		1780
775		1672
776		1797
777		1750
778		1774
779		1687
780		1701
781		1786
782		1786
783		1738
784		1735
785		1708
786		1728
787		1732
788		1712
789		1753
790		1713
791		1774
792		1782
793		1761
794		1773
795		1696
796		1615
797		1799
798		1747
799		1818
800		1683
801		1852
802		1722
803		1775
804		1777
805		1824
806		1798
807		1770
808		1807
809		1738
810		1812
811		1752
812		1885
813		1900
814		1771
815		1897
816		1840
817		1856
818		1860
819		1890
820		1901
821		1883
822		1884
823		1909
824		1844
825		1925
826		1919
827		1923
828		1944
829		1860
830		2011
831		1861
832		1912
833		1940
834		1993
835		1977
836		1921
837		1962
838		1977
839		1972
840		2013
841		1981
842		2000
843		2111
844		2090
845		2013
846		2022
847		2001
848		2145
849		2073
850		2092
851		2040
852		2115
853		2088
854		2020
855		2019
856		2025
857		2107
858		2108
859		1998
860		2074
861		2039
862		2052
863		2078
864		2053
865		2132
866		2095
867		2118
868		2039
869		2079
870		2104
871		2161
872		2123
873		2183
874		2163
875		2005
876		2120
877		2048
878		2114
879		2047
880		2115
881		2146
882		2157
883		2149
884		2137
885		2182
886		2169
887		2173
888		2157
889		2162
890		2291
891		2200
892		2194
