Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	16
Fine Gain:	1.0
Upper Discriminator:	1048
Lower Discriminator:	45
Calibration Coefficients:Elapsed Real Time:	711.57
Elapsed Live Time:	646.05
Start Time:	November 12, 2020, 03:02:05
End Time:	November 12, 2020, 03:14:05
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		1
9		0
10		2
11		1
12		8
13		16
14		17
15		15
16		20
17		37
18		54
19		47
20		40
21		48
22		55
23		61
24		55
25		70
26		63
27		82
28		88
29		85
30		85
31		100
32		104
33		93
34		108
35		123
36		134
37		139
38		147
39		149
40		1164
41		34801
42		41198
43		40605
44		39254
45		38817
46		38214
47		37062
48		36579
49		36128
50		35754
51		34826
52		34689
53		33732
54		33191
55		32522
56		31690
57		31255
58		30715
59		30380
60		29710
61		29050
62		28884
63		28346
64		27885
65		27512
66		26879
67		27026
68		26336
69		26228
70		25916
71		25589
72		25809
73		25436
74		25507
75		25570
76		25418
77		24861
78		25544
79		25039
80		25148
81		25172
82		25383
83		25318
84		25191
85		25138
86		25213
87		25044
88		25026
89		25015
90		24549
91		24554
92		24451
93		24761
94		24642
95		24056
96		23699
97		23719
98		23534
99		23100
100		23016
101		22498
102		22135
103		21760
104		21477
105		21251
106		20380
107		20232
108		19913
109		19533
110		19093
111		18747
112		18590
113		18562
114		18284
115		18205
116		18224
117		17755
118		18092
119		17955
120		17978
121		18111
122		18526
123		18287
124		18597
125		18480
126		18608
127		18310
128		18466
129		18187
130		17922
131		17676
132		17360
133		16883
134		16187
135		15984
136		15421
137		15095
138		14416
139		14349
140		13962
141		13098
142		13015
143		12642
144		12484
145		12065
146		12097
147		11777
148		11917
149		11544
150		11558
151		11483
152		11641
153		11363
154		11252
155		11287
156		11035
157		11154
158		11232
159		11097
160		11037
161		11005
162		11111
163		10935
164		10925
165		10654
166		10539
167		10732
168		10535
169		10421
170		10313
171		10229
172		10315
173		10063
174		9941
175		9767
176		9811
177		9795
178		9724
179		9430
180		9315
181		9406
182		9393
183		9104
184		9026
185		9116
186		8836
187		9023
188		8819
189		8646
190		8658
191		8657
192		8471
193		8596
194		8369
195		8374
196		8417
197		8225
198		8218
199		8151
200		8037
201		7936
202		8053
203		7924
204		7873
205		7750
206		7666
207		7589
208		7677
209		7733
210		7670
211		7470
212		7492
213		7386
214		7374
215		7166
216		7540
217		7257
218		7130
219		7151
220		7049
221		6926
222		6934
223		6879
224		6797
225		6898
226		6655
227		6607
228		6661
229		6712
230		6668
231		6529
232		6560
233		6260
234		6477
235		6369
236		6427
237		6224
238		6243
239		6175
240		6402
241		6270
242		6229
243		6274
244		6123
245		6069
246		6178
247		6088
248		6133
249		5989
250		5960
251		5921
252		5996
253		5811
254		5822
255		5943
256		5857
257		5906
258		5863
259		5858
260		5864
261		5592
262		5599
263		5776
264		5728
265		5728
266		5633
267		5674
268		5651
269		5477
270		5624
271		5510
272		5434
273		5429
274		5514
275		5533
276		5467
277		5418
278		5440
279		5349
280		5358
281		5342
282		5313
283		5348
284		5314
285		5263
286		5257
287		5312
288		5230
289		5175
290		5260
291		5271
292		5248
293		5204
294		5222
295		5180
296		5236
297		5091
298		5129
299		5152
300		5114
301		5278
302		5071
303		5099
304		5074
305		4984
306		4969
307		4947
308		4923
309		4963
310		4875
311		4794
312		4883
313		4851
314		4852
315		4824
316		4834
317		4814
318		4947
319		4728
320		4785
321		4822
322		4836
323		4501
324		4573
325		4663
326		4772
327		4496
328		4617
329		4666
330		4565
331		4649
332		4638
333		4535
334		4544
335		4549
336		4569
337		4509
338		4478
339		4385
340		4379
341		4390
342		4435
343		4352
344		4317
345		4418
346		4396
347		4183
348		4414
349		4409
350		4392
351		4343
352		4355
353		4275
354		4317
355		4150
356		4454
357		4341
358		4250
359		4192
360		4250
361		4134
362		4175
363		4176
364		4219
365		4134
366		4199
367		4057
368		4192
369		4124
370		4127
371		4056
372		4122
373		4093
374		4054
375		4028
376		4052
377		4021
378		4129
379		3941
380		4057
381		4047
382		3943
383		3888
