Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	16
Fine Gain:	1.0
Upper Discriminator:	1048
Lower Discriminator:	73
Calibration Coefficients:Elapsed Real Time:	358.77
Elapsed Live Time:	319.25
Start Time:	November 12, 2020, 03:25:27
End Time:	November 12, 2020, 03:31:26
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	518	595	221564	74611	44	555

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		1
32		4
33		0
34		2
35		0
36		2
37		4
38		4
39		2
40		5
41		1
42		0
43		3
44		5
45		2
46		3
47		6
48		3
49		8
50		7
51		4
52		9
53		7
54		6
55		9
56		7
57		14
58		16
59		25
60		14
61		15
62		13
63		23
64		26
65		27
66		34
67		38
68		72
69		1551
70		17205
71		18394
72		18559
73		18304
74		18234
75		18316
76		18430
77		18452
78		18310
79		18574
80		18787
81		18711
82		18770
83		18992
84		19053
85		19020
86		19307
87		19321
88		19374
89		19435
90		19503
91		19686
92		19640
93		19253
94		19496
95		19952
96		19601
97		19295
98		19118
99		18932
100		18868
101		18537
102		18039
103		17837
104		17547
105		17157
106		16962
107		16516
108		15886
109		15635
110		15369
111		14951
112		14588
113		14258
114		14132
115		13666
116		13760
117		13683
118		13755
119		13395
120		13429
121		13636
122		13682
123		13849
124		14003
125		14070
126		14111
127		14031
128		14111
129		13876
130		13723
131		13579
132		13376
133		12910
134		12636
135		12382
136		11943
137		11541
138		11157
139		10786
140		10290
141		9969
142		9579
143		9288
144		9363
145		9001
146		8844
147		8712
148		8587
149		8431
150		8687
151		8316
152		8394
153		8325
154		8217
155		8361
156		8213
157		8327
158		8343
159		8252
160		8375
161		8134
162		8457
163		8217
164		8139
165		8108
166		8085
167		8034
168		8121
169		7807
170		7840
171		7865
172		7579
173		7650
174		7599
175		7477
176		7428
177		7198
178		7174
179		7175
180		7153
181		6795
182		6953
183		6910
184		6658
185		6737
186		6495
187		6579
188		6489
189		6386
190		6378
191		6157
192		6267
193		6186
194		6220
195		6059
196		6044
197		5859
198		5901
199		5714
200		5613
201		5623
202		5538
203		5555
204		5519
205		5557
206		5522
207		5452
208		5281
209		5256
210		5364
211		5212
212		5276
213		5150
214		5193
215		5089
216		5027
217		5100
218		5070
219		4996
220		4806
221		4759
222		4837
223		4706
224		4727
225		4743
226		4672
227		4642
228		4642
229		4581
230		4587
231		4590
232		4464
233		4406
234		4493
235		4279
236		4286
237		4387
238		4161
239		4280
240		4270
241		4189
242		4237
243		4079
244		4195
245		4135
246		4150
247		4165
248		4187
249		4168
250		4099
251		4141
252		3991
253		3930
254		4065
255		4031
256		3997
257		4093
258		3960
259		3937
260		3945
261		3934
262		3911
263		3823
264		4039
265		3910
266		3873
267		3846
268		3818
269		3771
270		3765
271		3798
272		3764
273		3768
274		3660
275		3651
276		3780
277		3748
278		3650
279		3662
280		3720
281		3682
282		3673
283		3752
284		3571
285		3651
286		3621
287		3652
288		3583
289		3563
290		3598
291		3537
292		3535
293		3533
294		3576
295		3509
296		3479
297		3552
298		3411
299		3457
300		3471
301		3456
302		3401
303		3541
304		3463
305		3326
306		3388
307		3325
308		3337
309		3269
310		3494
311		3285
312		3356
313		3191
314		3363
315		3333
316		3343
317		3302
318		3203
319		3157
320		3151
321		3209
322		3247
323		3112
324		3256
325		3113
326		3228
327		3172
328		3172
329		3116
330		3082
331		3041
332		3031
333		3131
334		3024
335		2988
336		2949
337		2976
338		2969
339		3037
340		2987
341		3042
342		3001
343		2968
344		3010
345		2977
346		3007
347		2897
348		2970
349		2947
350		3000
351		2894
352		2804
353		2816
354		2846
355		2841
356		2853
357		2820
358		2943
359		2872
360		2810
361		2821
362		2883
363		2801
364		2737
365		2718
366		2750
367		2810
368		2758
369		2826
370		2723
371		2887
372		2677
373		2784
374		2846
375		2710
376		2764
377		2708
378		2681
379		2720
380		2606
381		2655
382		2693
383		2591
384		2684
385		2701
386		2736
