Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	16
Fine Gain:	1.0
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	1489.86
Elapsed Live Time:	1312.31
Start Time:	November 12, 2020, 01:28:04
End Time:	November 12, 2020, 01:52:54
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		2
2		7
3		45
4		3932
5		5424
6		793
7		1199
8		2526
9		8995
10		36431
11		47090
12		56263
13		65712
14		73948
15		80706
16		85358
17		84870
18		82388
19		77889
20		74584
21		71925
22		69648
23		66457
24		64147
25		62347
26		61067
27		60353
28		59250
29		58161
30		56565
31		54584
32		53130
33		50928
34		49356
35		47404
36		45412
37		43441
38		42248
39		40218
40		39359
41		38057
42		36903
43		35706
44		34630
45		33487
46		32930
47		31925
48		31431
49		30506
50		29860
51		28801
52		27881
53		27740
54		26401
55		25707
56		24801
57		23999
58		23402
59		22417
60		21390
61		21053
62		20456
63		19670
64		19073
65		18432
66		17607
67		17243
68		16805
69		16181
70		15920
71		15443
72		15303
73		14948
74		14815
75		14108
76		13920
77		13542
78		13331
79		12988
80		12838
81		12390
82		12231
83		12187
84		12001
85		11727
86		11623
87		11299
88		11245
89		11058
90		10894
91		10725
92		10376
93		10393
94		10077
95		9996
96		9693
97		9647
98		9588
99		9463
100		9145
101		9274
102		9021
103		9058
104		8934
105		9092
106		8952
107		9049
108		8859
109		8822
110		8693
111		8856
112		8980
113		8887
114		8940
115		8862
116		8965
117		9108
118		9038
119		8921
120		8767
121		8969
122		8919
123		9012
124		8813
125		8639
126		8323
127		8179
128		8394
129		8149
130		7939
131		7801
132		7448
133		7597
134		7140
135		7065
136		6891
137		6705
138		6613
139		6496
140		6382
141		6231
142		6081
143		6010
144		6071
145		6017
146		5854
147		5924
148		5787
149		5812
150		5695
151		5681
152		5543
153		5622
154		5665
155		5538
156		5534
157		5530
158		5370
159		5344
160		5358
161		5196
162		5115
163		4951
164		4976
165		4864
166		4709
167		4630
168		4641
169		4494
170		4472
171		4468
172		4333
173		4274
174		4254
175		4089
176		4267
177		4084
178		4113
179		4140
180		4022
181		4002
182		3960
183		3885
184		3987
185		3796
186		3840
187		3889
188		3906
189		3826
190		3860
191		3768
192		3813
193		3856
194		3700
195		3766
196		3729
197		3641
198		3695
199		3698
200		3658
201		3628
202		3580
203		3582
204		3475
205		3414
206		3576
207		3433
208		3447
209		3396
210		3259
211		3279
212		3296
213		3224
214		3165
215		3214
216		3138
217		3230
218		3144
219		3189
220		3128
221		3139
222		3079
223		3018
224		3000
225		2996
226		2980
227		2939
228		2947
229		2877
230		2888
231		2859
232		2887
233		2838
234		2852
235		2694
236		2792
237		2686
238		2880
239		2737
240		2775
241		2698
242		2648
243		2749
244		2725
245		2570
246		2589
247		2700
248		2660
249		2656
250		2691
251		2633
252		2547
253		2676
254		2641
255		2590
256		2577
257		2651
258		2614
259		2616
260		2527
261		2548
262		2571
263		2601
264		2554
265		2576
266		2505
267		2433
268		2509
269		2568
270		2535
271		2549
272		2556
273		2400
274		2443
275		2510
276		2474
277		2425
278		2434
279		2445
280		2403
281		2437
282		2430
283		2395
284		2413
285		2373
286		2484
287		2409
288		2388
289		2379
290		2341
291		2348
292		2301
293		2291
294		2257
295		2315
296		2357
297		2204
298		2181
299		2204
300		2227
301		2142
302		2163
303		2190
304		2178
305		2192
306		2213
307		2100
308		2123
309		2068
310		2025
311		2078
312		2051
313		2063
314		2061
315		2059
316		2046
317		2029
318		2055
319		1999
320		2011
321		2006
322		2096
323		1996
324		2052
325		2024
326		1879
327		1985
328		2055
329		1980
330		1983
331		1999
332		1993
333		1959
334		2011
335		1972
336		1925
337		2002
338		1953
339		1946
340		1843
341		1931
342		1930
343		1861
344		1942
345		1975
346		1877
347		1856
348		1881
349		1901
350		1930
351		1868
352		2006
353		1933
354		1955
355		1797
356		1905
357		1858
358		1800
359		1885
360		1878
361		1754
362		1856
363		1890
364		1794
365		1801
366		1819
367		1823
368		1800
369		1796
370		1741
371		1750
372		1752
373		1702
374		1661
375		1694
376		1727
377		1655
378		1605
379		1640
380		1662
381		1597
382		1603
383		1639
384		1573
385		1603
386		1550
387		1602
388		1557
389		1513
390		1569
391		1614
392		1582
393		1458
394		1551
395		1477
396		1480
397		1493
398		1480
399		1459
400		1408
401		1452
402		1406
403		1413
404		1412
405		1484
406		1431
407		1392
408		1422
409		1414
410		1413
411		1424
412		1446
413		1367
414		1416
415		1364
416		1394
417		1317
418		1394
419		1352
420		1403
421		1341
422		1464
423		1408
424		1379
425		1332
426		1342
427		1441
428		1419
429		1342
430		1424
431		1354
432		1353
433		1346
434		1411
435		1366
436		1378
437		1382
438		1347
439		1355
440		1343
441		1290
442		1358
443		1228
444		1335
445		1297
446		1353
447		1303
448		1312
449		1277
450		1283
451		1247
452		1214
453		1275
454		1237
455		1239
456		1238
457		1247
458		1245
459		1189
460		1177
461		1199
462		1161
463		1170
464		1202
465		1169
466		1099
467		1202
468		1169
469		1154
470		1128
471		1059
472		1070
473		1055
474		1086
475		1051
476		1065
477		1127
478		1013
479		1005
480		1061
481		1017
482		1027
483		1002
484		1029
485		1016
486		989
487		1047
488		1046
489		968
490		1024
491		996
492		999
493		1010
494		1032
495		932
496		961
497		995
498		1007
499		932
500		950
501		1024
502		954
503		872
504		886
505		945
506		930
507		927
508		929
509		945
510		897
511		891
512		927
513		912
514		924
515		963
516		894
517		930
518		916
519		959
520		974
521		963
522		979
523		1006
524		968
525		923
526		949
527		940
528		1002
529		956
530		1060
531		958
532		1000
533		964
534		1067
535		998
536		1025
537		950
538		1022
539		1010
540		1065
541		990
542		991
543		1046
544		982
545		1043
546		985
547		1029
548		1073
549		994
550		1014
551		1077
552		951
553		1011
554		994
555		1014
556		975
557		924
558		975
559		925
560		930
561		910
562		924
563		969
564		931
565		885
566		925
567		885
568		883
569		801
570		874
571		883
572		853
573		808
574		810
575		826
576		807
577		793
578		720
579		748
580		773
581		760
582		731
583		737
584		757
585		688
586		717
587		697
588		643
589		680
590		700
591		706
592		695
593		637
594		657
595		639
596		672
597		638
598		613
599		589
600		584
601		623
602		608
603		587
604		603
605		645
606		591
607		605
608		614
609		594
610		629
611		568
612		613
613		608
614		585
615		590
616		629
617		627
618		555
619		631
620		597
621		654
622		574
623		572
624		586
625		595
626		619
627		583
628		557
629		617
630		594
631		654
632		577
633		585
634		594
635		570
636		596
637		639
638		571
639		596
640		581
641		558
642		618
643		618
644		598
645		617
646		636
647		603
648		549
649		619
650		632
651		569
652		601
653		545
654		567
655		562
656		592
657		571
658		579
659		524
660		591
661		592
662		569
663		541
664		530
665		564
666		513
667		552
668		551
669		562
670		506
671		561
672		559
673		523
674		535
675		549
676		556
677		546
678		519
679		549
680		526
681		502
682		526
683		501
684		500
685		481
686		519
687		511
688		488
689		534
690		485
691		478
692		518
693		528
694		516
695		486
696		526
697		521
698		447
699		483
700		502
701		489
702		536
703		505
704		472
705		515
706		471
707		473
708		462
709		502
710		479
711		548
712		468
713		467
714		453
715		462
716		440
717		535
718		476
719		483
720		451
721		505
722		455
723		479
724		497
725		488
726		465
727		472
728		470
729		494
730		539
731		456
732		496
733		462
734		501
735		456
736		459
737		441
738		455
739		467
740		438
741		440
742		489
743		482
744		468
745		446
746		475
747		475
748		478
749		469
750		447
751		440
752		476
753		480
754		483
755		464
756		428
757		494
758		480
759		420
760		476
761		469
762		438
763		463
764		488
765		438
766		489
767		442
768		454
769		473
770		473
771		455
772		467
773		469
774		474
775		416
776		477
777		447
778		448
779		464
780		431
781		421
782		385
783		460
784		455
785		442
786		457
787		473
788		452
789		445
790		467
791		453
792		422
793		448
794		452
795		444
796		454
797		401
798		451
799		413
800		420
801		455
802		435
803		462
804		406
805		440
806		433
807		438
808		452
809		453
810		431
811		424
812		469
813		453
814		456
815		403
816		436
817		454
818		518
819		467
820		415
821		434
822		449
823		475
824		424
825		412
826		426
827		458
828		427
829		438
830		451
831		440
832		423
833		419
834		459
835		412
836		483
837		440
838		468
839		439
840		453
841		423
842		450
843		467
844		410
845		454
846		451
847		417
848		425
849		470
850		447
851		438
852		430
853		438
854		460
855		463
856		439
857		473
858		405
859		429
860		463
861		465
862		460
863		434
864		449
865		429
866		441
867		420
868		399
869		450
870		473
871		470
872		452
873		468
874		482
875		465
876		432
877		457
878		478
879		433
880		456
881		461
882		455
883		449
884		449
885		462
886		426
887		450
888		469
889		420
890		461
891		432
892		433
893		457
894		441
895		428
896		465
897		456
898		434
899		434
900		443
901		455
902		443
903		401
904		480
905		457
906		479
907		473
908		438
909		433
910		456
911		462
912		490
913		452
914		454
915		406
916		442
917		476
918		460
919		444
920		435
921		430
922		469
923		433
924		489
925		452
926		470
927		453
928		487
929		446
930		448
931		499
932		452
933		448
934		457
935		469
936		450
937		424
938		457
939		461
940		474
941		457
942		461
943		480
944		494
945		498
946		462
947		470
948		458
949		473
950		469
951		473
952		489
953		538
954		454
955		452
956		465
957		472
958		466
959		473
960		474
961		448
962		426
963		484
964		483
965		465
966		451
967		462
968		479
969		477
970		483
971		465
972		458
973		498
974		441
975		419
976		469
977		475
978		464
979		423
980		475
981		436
982		446
983		428
984		460
985		460
986		469
987		453
988		445
989		442
990		466
991		443
992		418
993		394
994		453
995		432
996		451
997		424
998		435
999		393
1000		411
1001		440
1002		468
1003		431
1004		424
1005		430
1006		413
1007		404
1008		419
1009		409
1010		425
1011		402
1012		422
1013		413
1014		407
1015		426
1016		398
1017		423
1018		391
1019		391
1020		400
1021		396
1022		404
1023		404
