Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	16
Fine Gain:	1.0
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	985.48
Elapsed Live Time:	877.79
Start Time:	November 12, 2020, 11:16:56
End Time:	November 12, 2020, 11:33:21
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		1
1		0
2		7
3		31
4		2261
5		3008
6		404
7		707
8		1390
9		5127
10		22668
11		29177
12		34730
13		39355
14		43517
15		46036
16		47810
17		47145
18		45645
19		43279
20		41106
21		39599
22		38114
23		36173
24		34850
25		33817
26		33567
27		32918
28		32692
29		31967
30		31376
31		30190
32		29273
33		28377
34		27313
35		26179
36		25362
37		24669
38		23467
39		22544
40		22137
41		21373
42		21031
43		20320
44		19927
45		19646
46		19114
47		18504
48		18318
49		18020
50		17386
51		17280
52		16688
53		16166
54		15421
55		14999
56		14863
57		14066
58		13697
59		13451
60		12775
61		12105
62		11915
63		11367
64		11329
65		10842
66		10725
67		10184
68		10125
69		9821
70		9500
71		9363
72		9156
73		8923
74		8704
75		8579
76		8408
77		8096
78		8031
79		7796
80		7740
81		7633
82		7484
83		7300
84		7349
85		7119
86		7066
87		6865
88		6871
89		6839
90		6772
91		6635
92		6473
93		6448
94		6436
95		6424
96		6205
97		6226
98		6279
99		5973
100		6100
101		6047
102		5907
103		6001
104		6057
105		5931
106		5996
107		5894
108		6053
109		5928
110		5970
111		6108
112		6020
113		6065
114		6035
115		6093
116		6092
117		5985
118		5843
119		5964
120		5897
121		5862
122		5822
123		5936
124		5790
125		5645
126		5545
127		5394
128		5326
129		5234
130		5171
131		4997
132		4917
133		4846
134		4657
135		4640
136		4640
137		4384
138		4318
139		4290
140		4142
141		3966
142		4051
143		4055
144		4007
145		3924
146		3938
147		3823
148		3891
149		3920
150		3798
151		3803
152		3786
153		3705
154		3752
155		3737
156		3635
157		3700
158		3639
159		3543
160		3595
161		3554
162		3503
163		3356
164		3424
165		3285
166		3219
167		3250
168		3075
169		3088
170		3068
171		3016
172		2946
173		2908
174		2826
175		2819
176		2716
177		2742
178		2755
179		2703
180		2767
181		2702
182		2692
183		2570
184		2633
185		2583
186		2627
187		2453
188		2482
189		2463
190		2480
191		2518
192		2520
193		2519
194		2314
195		2406
196		2345
197		2402
198		2339
199		2329
200		2349
201		2152
202		2269
203		2299
204		2297
205		2208
206		2231
207		2177
208		2170
209		2128
210		2168
211		2187
212		2066
213		1998
214		2023
215		1987
216		2032
217		1995
218		1878
219		1954
220		1890
221		1887
222		1829
223		1892
224		1809
225		1915
226		1855
227		1706
228		1807
229		1823
230		1854
231		1791
232		1677
233		1726
234		1611
235		1691
236		1698
237		1697
238		1635
239		1679
240		1635
241		1685
242		1669
243		1586
244		1626
245		1586
246		1632
247		1606
248		1593
249		1623
250		1547
251		1589
252		1562
253		1630
254		1626
255		1530
256		1568
257		1622
258		1611
259		1611
260		1502
261		1464
262		1625
263		1599
264		1535
265		1550
266		1571
267		1559
268		1511
269		1487
270		1571
271		1520
272		1573
273		1526
274		1527
275		1565
276		1540
277		1534
278		1469
279		1481
280		1499
281		1451
282		1488
283		1533
284		1498
285		1457
286		1469
287		1405
288		1435
289		1417
290		1455
291		1419
292		1460
293		1465
294		1443
295		1386
296		1358
297		1334
298		1352
299		1429
300		1348
301		1355
302		1357
303		1350
304		1344
305		1285
306		1318
307		1324
308		1327
309		1326
310		1291
311		1339
312		1290
313		1328
314		1326
315		1289
316		1276
317		1332
318		1261
319		1236
320		1186
321		1225
322		1284
323		1231
324		1194
325		1257
326		1213
327		1190
328		1255
329		1189
330		1193
331		1221
332		1208
333		1125
334		1159
335		1129
336		1128
337		1135
338		1170
339		1135
340		1224
341		1148
342		1230
343		1177
344		1134
345		1177
346		1111
347		1182
348		1170
349		1178
350		1164
351		1133
352		1173
353		1148
354		1117
355		1168
356		1205
357		1167
358		1117
359		1085
360		1181
361		1120
362		1166
363		1098
364		1032
365		1089
366		1070
367		1100
368		1066
369		1039
370		1128
371		1106
372		1028
373		1013
374		1048
375		1037
376		1038
377		1003
378		1063
379		1005
380		1031
381		1005
382		933
383		970
384		927
385		947
386		970
387		952
388		970
389		929
390		943
391		946
392		932
393		871
394		967
395		934
396		939
397		889
398		928
399		875
400		835
401		867
402		903
403		874
404		903
405		866
406		860
407		947
408		858
409		861
410		826
411		913
412		901
413		868
414		902
415		864
416		870
417		867
418		791
419		861
420		836
421		826
422		906
423		876
424		857
425		856
426		826
427		843
428		872
429		839
430		848
431		801
432		848
433		849
434		814
435		850
436		832
437		840
438		859
439		802
440		854
441		849
442		856
443		827
444		834
445		837
446		778
447		801
448		827
449		785
450		752
451		763
452		818
453		762
454		730
455		769
456		778
457		732
458		770
459		795
460		752
461		747
462		706
463		736
464		701
465		740
466		756
467		726
468		712
469		735
470		724
471		663
472		703
473		683
474		687
475		695
476		643
477		695
478		672
479		613
480		652
481		654
482		654
483		672
484		605
485		635
486		636
487		598
488		641
489		586
490		670
491		634
492		585
493		622
494		606
495		625
496		596
497		622
498		626
499		648
500		589
501		605
502		576
503		623
504		599
505		617
506		606
507		590
508		625
509		606
510		623
511		581
512		577
513		574
514		603
515		562
516		564
517		609
518		571
519		563
520		567
521		601
522		588
523		554
524		610
525		584
526		599
527		650
528		543
529		625
530		568
531		558
532		569
533		622
534		600
535		633
536		646
537		593
538		614
539		612
540		604
541		590
542		590
543		615
544		631
545		622
546		629
547		662
548		600
549		580
550		600
551		591
552		671
553		565
554		583
555		587
556		598
557		589
558		588
559		596
560		556
561		551
562		571
563		533
564		571
565		532
566		549
567		556
568		538
569		520
570		541
571		559
572		495
573		495
574		508
575		490
576		509
577		502
578		464
579		509
580		529
581		499
582		529
583		494
584		443
585		448
586		470
587		465
588		428
589		481
590		455
591		460
592		461
593		440
594		461
595		464
596		406
597		430
598		464
599		449
600		450
601		432
602		436
603		425
604		413
605		375
606		406
607		444
608		407
609		429
610		419
611		420
612		439
613		404
614		425
615		418
616		460
617		434
618		433
619		412
620		441
621		455
622		426
623		399
624		434
625		391
626		420
627		417
628		451
629		410
630		419
631		409
632		405
633		442
634		415
635		454
636		415
637		373
638		413
639		406
640		395
641		418
642		407
643		386
644		434
645		403
646		401
647		464
648		407
649		419
650		416
651		397
652		379
653		396
654		426
655		424
656		394
657		391
658		444
659		397
660		419
661		391
662		391
663		425
664		415
665		390
666		366
667		363
668		418
669		390
670		389
671		361
672		407
673		358
674		390
675		401
676		366
677		415
678		352
679		391
680		362
681		355
682		353
683		383
684		358
685		346
686		330
687		398
688		357
689		330
690		353
691		347
692		339
693		348
694		363
695		350
696		337
697		353
698		334
699		333
700		374
701		317
702		333
703		339
704		318
705		352
706		326
707		314
708		348
709		331
710		316
711		339
712		316
713		322
714		337
715		308
716		322
717		284
718		350
719		323
720		320
721		299
722		324
723		324
724		307
725		331
726		317
727		330
728		285
729		313
730		293
731		317
732		305
733		311
734		325
735		299
736		301
737		309
738		299
739		333
740		273
741		299
742		321
743		265
744		319
745		305
746		326
747		321
748		307
749		265
750		284
751		275
752		288
753		314
754		264
755		296
756		277
757		305
758		272
759		254
760		279
761		279
762		289
763		300
764		280
765		284
766		285
767		303
768		284
769		279
770		275
771		295
772		275
773		267
774		297
775		284
776		260
777		261
778		273
779		293
780		303
781		309
782		279
783		277
784		268
785		277
786		287
787		292
788		258
789		268
790		276
791		246
792		270
793		275
794		256
795		294
796		267
797		280
798		295
799		289
800		248
801		276
802		284
803		270
804		251
805		277
806		296
807		257
808		249
809		284
810		257
811		272
812		244
813		245
814		250
815		271
816		263
817		245
818		272
819		289
820		287
821		271
822		238
823		265
824		249
825		297
826		258
827		276
828		253
829		263
830		265
831		258
832		241
833		242
834		291
835		237
836		238
837		241
838		255
839		261
840		250
841		261
842		247
843		247
844		249
845		272
846		263
847		240
848		268
849		283
850		246
851		256
852		255
853		264
854		248
855		281
856		256
857		266
858		256
859		251
860		242
861		260
862		238
863		278
864		278
865		234
866		250
867		287
868		285
869		243
870		232
871		243
872		269
873		234
874		227
875		232
876		258
877		239
878		282
879		250
880		223
881		260
882		213
883		259
884		250
885		250
886		237
887		247
888		213
889		243
890		270
891		242
892		272
893		225
894		230
895		228
896		247
897		280
898		273
899		239
900		234
901		221
902		253
903		233
904		198
905		248
906		232
907		251
908		236
909		229
910		223
911		215
912		250
913		226
914		246
915		242
916		245
917		247
918		251
919		242
920		256
921		241
922		233
923		238
924		221
925		227
926		266
927		253
928		229
929		231
930		211
931		205
932		234
933		255
934		257
935		241
936		214
937		247
938		244
939		226
940		211
941		233
942		224
943		248
944		245
945		264
946		222
947		234
948		238
949		234
950		221
951		261
952		188
953		230
954		236
955		226
956		235
957		232
958		233
959		230
960		235
961		247
962		224
963		224
964		210
965		230
966		256
967		230
968		192
969		237
970		243
971		241
972		238
973		228
974		262
975		196
976		211
977		220
978		218
979		208
980		216
981		232
982		223
983		214
984		203
985		213
986		242
987		229
988		201
989		199
990		217
991		212
992		217
993		214
994		208
995		221
996		202
997		229
998		214
999		209
1000		187
1001		233
1002		212
1003		219
1004		216
1005		187
1006		202
1007		205
1008		211
1009		215
1010		190
1011		206
1012		189
1013		187
1014		195
1015		206
1016		218
1017		213
1018		198
1019		197
1020		219
1021		181
1022		188
1023		188
