Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	16
Fine Gain:	1.0
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	716.16
Elapsed Live Time:	634.2
Start Time:	November 12, 2020, 01:55:35
End Time:	November 12, 2020, 02:07:32
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		1
2		3
3		19
4		1443
5		2449
6		315
7		516
8		1236
9		4094
10		16655
11		21967
12		26326
13		31215
14		35510
15		38430
16		40938
17		41466
18		40230
19		38219
20		36367
21		34910
22		33661
23		32523
24		31111
25		30020
26		29436
27		28937
28		28600
29		27866
30		27156
31		26454
32		25421
33		24290
34		23513
35		22483
36		21740
37		20875
38		19858
39		19162
40		18663
41		18225
42		17492
43		16885
44		16676
45		15979
46		15622
47		15234
48		14945
49		14493
50		14172
51		13906
52		13315
53		13071
54		12470
55		12063
56		11795
57		11624
58		10986
59		10547
60		10412
61		9879
62		9490
63		9106
64		8886
65		8551
66		8420
67		8095
68		7778
69		7549
70		7321
71		7027
72		6985
73		6781
74		6494
75		6464
76		6389
77		6125
78		6030
79		5780
80		5743
81		5673
82		5664
83		5429
84		5256
85		5179
86		4970
87		5074
88		5029
89		4845
90		4784
91		4814
92		4697
93		4647
94		4567
95		4417
96		4351
97		4236
98		4235
99		4170
100		4155
101		4060
102		4041
103		3864
104		4011
105		3989
106		4052
107		3825
108		3988
109		3987
110		3886
111		3820
112		3886
113		3941
114		3938
115		3955
116		3882
117		3864
118		3845
119		3991
120		3959
121		3880
122		3858
123		3731
124		3725
125		3743
126		3747
127		3604
128		3589
129		3482
130		3454
131		3335
132		3258
133		3280
134		3198
135		3090
136		2911
137		2854
138		2881
139		2811
140		2653
141		2647
142		2586
143		2672
144		2670
145		2581
146		2611
147		2583
148		2502
149		2460
150		2527
151		2507
152		2417
153		2451
154		2531
155		2419
156		2460
157		2323
158		2293
159		2358
160		2276
161		2295
162		2150
163		2079
164		2142
165		2009
166		2047
167		1881
168		1967
169		1984
170		1885
171		1865
172		1851
173		1800
174		1767
175		1778
176		1761
177		1713
178		1723
179		1788
180		1727
181		1689
182		1703
183		1630
184		1632
185		1677
186		1603
187		1614
188		1598
189		1639
190		1605
191		1570
192		1592
193		1544
194		1532
195		1559
196		1596
197		1452
198		1480
199		1490
200		1478
201		1459
202		1497
203		1472
204		1471
205		1475
206		1367
207		1408
208		1380
209		1379
210		1438
211		1346
212		1321
213		1301
214		1320
215		1302
216		1295
217		1356
218		1295
219		1271
220		1288
221		1219
222		1262
223		1244
224		1238
225		1221
226		1179
227		1165
228		1188
229		1197
230		1199
231		1160
232		1164
233		1169
234		1136
235		1100
236		1149
237		1114
238		1131
239		1065
240		1101
241		1113
242		1005
243		1076
244		1110
245		1041
246		1113
247		1032
248		1062
249		1034
250		1076
251		1069
252		1081
253		1089
254		1068
255		1081
256		1057
257		1074
258		975
259		1039
260		1052
261		1028
262		962
263		953
264		1068
265		1026
266		1073
267		1018
268		959
269		1047
270		1044
271		1018
272		1064
273		1017
274		1019
275		1035
276		1041
277		1012
278		1032
279		963
280		948
281		991
282		954
283		979
284		928
285		925
286		908
287		952
288		942
289		911
290		922
291		894
292		880
293		910
294		903
295		937
296		892
297		875
298		884
299		869
300		901
301		830
302		885
303		904
304		842
305		825
306		818
307		859
308		825
309		809
310		858
311		824
312		833
313		817
314		814
315		808
316		828
317		830
318		796
319		812
320		815
321		844
322		772
323		818
324		764
325		822
326		799
327		754
328		742
329		754
330		746
331		773
332		774
333		730
334		764
335		764
336		796
337		765
338		722
339		696
340		765
341		769
342		731
343		730
344		741
345		747
346		655
347		774
348		743
349		764
350		795
351		717
352		797
353		734
354		748
355		724
356		737
357		732
358		765
359		729
360		717
361		718
362		724
363		672
364		707
365		679
366		706
367		707
368		628
369		699
370		691
371		655
372		670
373		640
374		663
375		622
376		600
377		683
378		636
379		654
380		632
381		582
382		643
383		609
384		621
385		588
386		583
387		584
388		556
389		557
390		585
391		585
392		569
393		601
394		544
395		561
396		540
397		585
398		511
399		563
400		529
401		537
402		526
403		564
404		551
405		529
406		514
407		492
408		514
409		517
410		538
411		490
412		516
413		508
414		489
415		528
416		501
417		529
418		494
419		482
420		499
421		496
422		509
423		487
424		469
425		503
426		482
427		505
428		483
429		504
430		496
431		507
432		498
433		516
434		508
435		525
436		483
437		496
438		479
439		483
440		480
441		499
442		528
443		477
444		465
445		469
446		465
447		504
448		428
449		495
450		447
451		463
452		458
453		439
454		474
455		433
456		451
457		448
458		483
459		405
460		461
461		382
462		445
463		384
464		408
465		396
466		403
467		370
468		411
469		378
470		351
471		368
472		355
473		338
474		358
475		385
476		328
477		356
478		390
479		363
480		343
481		354
482		381
483		322
484		346
485		338
486		336
487		350
488		357
489		366
490		348
491		341
492		378
493		326
494		346
495		296
496		339
497		317
498		337
499		329
500		328
501		332
502		364
503		314
504		338
505		333
506		330
507		330
508		319
509		320
510		307
511		329
512		343
513		317
514		304
515		289
516		314
517		304
518		298
519		321
520		307
521		306
522		314
523		323
524		292
525		291
526		312
527		320
528		287
529		301
530		291
531		330
532		321
533		328
534		345
535		314
536		343
537		326
538		316
539		296
540		343
541		308
542		334
543		314
544		328
545		286
546		363
547		315
548		295
549		322
550		306
551		261
552		302
553		293
554		316
555		297
556		321
557		295
558		297
559		296
560		338
561		316
562		306
563		299
564		323
565		265
566		281
567		284
568		279
569		319
570		281
571		275
572		286
573		270
574		253
575		237
576		275
577		271
578		292
579		284
580		253
581		280
582		255
583		243
584		255
585		233
586		258
587		242
588		225
589		223
590		252
591		220
592		237
593		266
594		232
595		256
596		208
597		251
598		206
599		220
600		218
601		234
602		240
603		200
604		236
605		200
606		213
607		216
608		238
609		217
610		228
611		230
612		218
613		223
614		231
615		212
616		200
617		209
618		227
619		228
620		235
621		218
622		234
623		226
624		238
625		251
626		232
627		241
628		244
629		241
630		223
631		241
632		196
633		233
634		248
635		229
636		243
637		234
638		220
639		198
640		199
641		180
642		231
643		235
644		250
645		234
646		239
647		213
648		230
649		210
650		221
651		245
652		232
653		248
654		225
655		233
656		227
657		200
658		226
659		215
660		189
661		231
662		186
663		223
664		208
665		218
666		203
667		197
668		208
669		205
670		184
671		165
672		181
673		191
674		215
675		208
676		209
677		194
678		179
679		214
680		199
681		179
682		229
683		188
684		185
685		203
686		164
687		161
688		195
689		175
690		199
691		189
692		193
693		201
694		179
695		194
696		187
697		200
698		184
699		173
700		170
701		183
702		187
703		206
704		174
705		157
706		194
707		180
708		170
709		173
710		182
711		172
712		168
713		166
714		170
715		179
716		161
717		186
718		176
719		171
720		174
721		194
722		190
723		180
724		150
725		191
726		167
727		157
728		158
729		166
730		176
731		169
732		154
733		155
734		155
735		169
736		172
737		162
738		177
739		174
740		155
741		174
742		175
743		151
744		182
745		135
746		153
747		154
748		160
749		170
750		167
751		177
752		175
753		152
754		160
755		148
756		151
757		146
758		149
759		168
760		162
761		145
762		144
763		154
764		166
765		170
766		168
767		164
768		151
769		140
770		139
771		164
772		153
773		164
774		150
775		167
776		151
777		138
778		166
779		168
780		160
781		163
782		158
783		159
784		150
785		173
786		155
787		131
788		164
789		173
790		162
791		136
792		148
793		158
794		147
795		164
796		148
797		135
798		146
799		133
800		160
801		127
802		155
803		141
804		144
805		163
806		148
807		165
808		151
809		147
810		140
811		162
812		163
813		135
814		146
815		134
816		172
817		164
818		145
819		136
820		160
821		149
822		141
823		143
824		137
825		127
826		140
827		140
828		156
829		153
830		154
831		133
832		139
833		128
834		140
835		162
836		129
837		167
838		150
839		137
840		142
841		139
842		158
843		127
844		133
845		150
846		151
847		145
848		139
849		128
850		149
851		135
852		148
853		137
854		117
855		142
856		134
857		152
858		135
859		179
860		143
861		139
862		140
863		137
864		137
865		132
866		144
867		140
868		162
869		138
870		125
871		127
872		150
873		148
874		154
875		131
876		138
877		150
878		144
879		146
880		123
881		134
882		140
883		154
884		152
885		143
886		150
887		131
888		118
889		136
890		125
891		145
892		142
893		126
894		126
895		147
896		116
897		118
898		124
899		149
900		154
901		134
902		139
903		121
904		144
905		139
906		139
907		131
908		150
909		143
910		151
911		123
912		134
913		154
914		111
915		128
916		146
917		138
918		137
919		114
920		123
921		142
922		132
923		119
924		127
925		130
926		118
927		142
928		132
929		126
930		132
931		143
932		125
933		136
934		146
935		121
936		137
937		136
938		121
939		135
940		122
941		126
942		119
943		128
944		148
945		133
946		126
