Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	16
Fine Gain:	1.0
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	1710.44
Elapsed Live Time:	1517.7
Start Time:	November 12, 2020, 12:25:12
End Time:	November 12, 2020, 12:53:42
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		1
2		3
3		55
4		4106
5		4699
6		648
7		1120
8		2329
9		7753
10		34005
11		44150
12		53193
13		62351
14		70811
15		77079
16		81937
17		82186
18		79429
19		75988
20		72753
21		69812
22		67569
23		64693
24		62535
25		60598
26		59919
27		59136
28		58160
29		57561
30		55963
31		54325
32		52387
33		50662
34		49187
35		46474
36		45164
37		43343
38		42072
39		40089
40		39002
41		37568
42		36475
43		35209
44		34177
45		33208
46		32732
47		31677
48		31123
49		30062
50		29338
51		29015
52		27849
53		27258
54		26408
55		25358
56		24685
57		24174
58		23278
59		22751
60		22031
61		21121
62		20398
63		20237
64		19485
65		18847
66		18227
67		17609
68		17085
69		16783
70		16343
71		16066
72		15671
73		15199
74		14977
75		14709
76		14268
77		13929
78		13685
79		13335
80		13430
81		12950
82		12793
83		12703
84		12495
85		11859
86		11822
87		11762
88		11405
89		11415
90		11168
91		10985
92		10725
93		10680
94		10594
95		9944
96		10083
97		9958
98		9652
99		9621
100		9529
101		9438
102		9184
103		9126
104		9320
105		8931
106		8993
107		8947
108		9142
109		8996
110		9279
111		8978
112		9125
113		9023
114		9145
115		8978
116		9305
117		9177
118		9173
119		9077
120		9088
121		9113
122		9003
123		8880
124		8870
125		8708
126		8668
127		8379
128		8290
129		8213
130		8176
131		7947
132		7646
133		7476
134		7159
135		7233
136		6959
137		6798
138		6843
139		6570
140		6425
141		6433
142		6365
143		6080
144		6283
145		5915
146		5867
147		5901
148		5869
149		5682
150		5763
151		5678
152		5751
153		5667
154		5600
155		5495
156		5462
157		5432
158		5314
159		5314
160		5166
161		5002
162		5045
163		4871
164		4763
165		4732
166		4617
167		4686
168		4557
169		4345
170		4336
171		4327
172		4235
173		4194
174		4137
175		4129
176		4013
177		4023
178		3990
179		3953
180		3945
181		3801
182		3841
183		3875
184		3745
185		3836
186		3772
187		3792
188		3715
189		3715
190		3731
191		3609
192		3618
193		3641
194		3580
195		3591
196		3552
197		3660
198		3525
199		3469
200		3434
201		3462
202		3454
203		3440
204		3407
205		3383
206		3391
207		3291
208		3251
209		3323
210		3204
211		3264
212		3213
213		3088
214		3201
215		3135
216		3095
217		3085
218		3088
219		3034
220		3121
221		2953
222		2961
223		2899
224		2887
225		2843
226		2927
227		2912
228		2897
229		2717
230		2882
231		2779
232		2778
233		2689
234		2659
235		2702
236		2724
237		2748
238		2674
239		2673
240		2713
241		2594
242		2601
243		2537
244		2551
245		2509
246		2524
247		2555
248		2615
249		2513
250		2538
251		2448
252		2393
253		2492
254		2460
255		2446
256		2436
257		2351
258		2541
259		2425
260		2538
261		2508
262		2430
263		2495
264		2388
265		2402
266		2399
267		2413
268		2427
269		2392
270		2355
271		2324
272		2414
273		2393
274		2355
275		2342
276		2352
277		2348
278		2279
279		2330
280		2285
281		2340
282		2323
283		2246
284		2239
285		2250
286		2201
287		2268
288		2294
289		2295
290		2286
291		2171
292		2137
293		2232
294		2190
295		2144
296		2117
297		2075
298		2076
299		2174
300		2087
301		2087
302		2022
303		1985
304		2022
305		2076
306		2082
307		1948
308		2009
309		1973
310		1980
311		1987
312		2074
313		1966
314		2009
315		1947
316		1945
317		1870
318		1950
319		1925
320		1857
321		1951
322		1885
323		1950
324		1843
325		1846
326		1917
327		1847
328		1855
329		1783
330		1828
331		1765
332		1795
333		1814
334		1833
335		1839
336		1839
337		1838
338		1864
339		1777
340		1748
341		1790
342		1849
343		1728
344		1776
345		1732
346		1763
347		1796
348		1851
349		1716
350		1758
351		1742
352		1783
353		1746
354		1680
355		1693
356		1768
357		1722
358		1689
359		1713
360		1736
361		1714
362		1665
363		1675
364		1739
365		1640
366		1586
367		1712
368		1685
369		1659
370		1641
371		1625
372		1605
373		1654
374		1636
375		1561
376		1538
377		1562
378		1547
379		1549
380		1472
381		1495
382		1498
383		1446
384		1498
385		1375
386		1467
387		1440
388		1376
389		1324
390		1354
391		1338
392		1320
393		1363
394		1410
395		1365
396		1316
397		1296
398		1322
399		1334
400		1311
401		1327
402		1284
403		1230
404		1375
405		1257
406		1242
407		1240
408		1224
409		1305
410		1278
411		1282
412		1244
413		1287
414		1131
415		1256
416		1225
417		1225
418		1254
419		1254
420		1270
421		1217
422		1269
423		1308
424		1201
425		1196
426		1153
427		1200
428		1263
429		1263
430		1240
431		1257
432		1261
433		1245
434		1231
435		1192
436		1267
437		1225
438		1171
439		1188
440		1197
441		1169
442		1187
443		1201
444		1242
445		1214
446		1172
447		1167
448		1113
449		1128
450		1163
451		1148
452		1113
453		1133
454		1131
455		1041
456		1053
457		1045
458		1088
459		1074
460		1048
461		1037
462		1055
463		998
464		1024
465		1061
466		951
467		981
468		1036
469		960
470		960
471		1002
472		959
473		914
474		944
475		959
476		912
477		893
478		838
479		883
480		932
481		856
482		855
483		856
484		814
485		835
486		898
487		858
488		896
489		817
490		849
491		846
492		840
493		826
494		818
495		822
496		839
497		820
498		840
499		785
500		856
501		791
502		770
503		822
504		782
505		774
506		796
507		821
508		819
509		810
510		805
511		795
512		785
513		760
514		774
515		828
516		802
517		811
518		825
519		803
520		779
521		818
522		809
523		849
524		816
525		817
526		823
527		824
528		825
529		875
530		837
531		835
532		878
533		875
534		809
535		901
536		852
537		881
538		881
539		876
540		864
541		895
542		943
543		873
544		914
545		897
546		876
547		910
548		898
549		859
550		901
551		897
552		892
553		854
554		898
555		832
556		870
557		879
558		873
559		868
560		883
561		883
562		833
563		804
564		818
565		786
566		807
567		798
568		756
569		695
570		783
571		715
572		737
573		784
574		768
575		729
576		711
577		670
578		674
579		702
580		685
581		681
582		659
583		619
584		644
585		598
586		614
587		580
588		602
589		663
590		580
591		643
592		571
593		583
594		594
595		574
596		542
597		581
598		559
599		551
600		525
601		577
602		543
603		562
604		521
605		504
606		574
607		565
608		507
609		535
610		536
611		552
612		553
613		547
614		555
615		548
616		500
617		537
618		553
619		548
620		557
621		515
622		531
623		559
624		529
625		540
626		576
627		495
628		558
629		540
630		531
631		517
632		531
633		534
634		537
635		573
636		526
637		568
638		505
639		502
640		556
641		517
642		568
643		527
644		533
645		552
646		521
647		531
648		529
649		543
650		522
651		551
652		503
653		531
654		545
655		476
656		508
657		520
658		488
659		523
660		565
661		518
662		491
663		456
664		477
665		470
666		492
667		533
668		491
669		481
670		503
671		477
672		465
673		448
674		457
675		470
676		464
677		496
678		504
679		459
680		467
681		462
682		448
683		455
684		448
685		457
686		450
687		440
688		421
689		453
690		455
691		423
692		423
693		441
694		416
695		397
696		446
697		403
698		433
699		405
700		414
701		454
702		416
703		383
704		421
705		405
706		406
707		373
708		399
709		412
710		424
711		399
712		434
713		390
714		442
715		397
716		404
717		391
718		451
719		369
720		400
721		395
722		429
723		429
724		408
725		436
726		412
727		395
728		382
729		416
730		435
731		391
732		423
733		418
734		394
735		389
736		417
737		388
738		369
739		390
740		403
741		398
742		388
743		376
744		405
745		417
746		376
747		425
748		405
749		377
750		401
751		378
752		363
753		384
754		387
755		409
756		400
757		413
758		379
759		407
760		373
761		371
762		399
763		352
764		418
765		401
766		372
767		385
768		374
769		370
770		349
771		395
772		374
773		382
774		387
775		386
776		357
777		384
778		364
779		389
780		396
781		394
782		398
783		336
784		364
785		362
786		357
787		357
788		398
789		391
790		366
791		362
792		401
793		404
794		356
795		345
796		374
797		378
798		356
799		360
800		355
801		351
802		332
803		398
804		374
805		371
806		382
807		361
808		322
809		360
810		365
811		375
812		376
813		361
814		394
815		336
816		393
817		329
818		350
819		342
820		350
821		367
822		348
823		359
824		338
825		317
826		329
827		327
828		369
829		346
830		356
831		341
832		366
833		369
834		389
835		352
836		355
837		354
838		332
839		332
840		375
841		366
842		338
843		356
844		368
845		360
846		337
847		378
848		332
849		368
850		350
851		353
852		364
853		371
854		374
855		344
856		357
857		333
858		338
859		354
860		324
861		358
862		383
863		321
864		381
865		344
866		345
867		347
868		364
869		349
870		333
871		361
872		358
873		309
874		337
875		369
876		352
877		349
878		348
879		363
880		369
881		340
882		363
883		357
884		336
885		363
886		347
887		341
888		324
889		298
890		341
891		343
892		318
893		341
894		333
895		343
896		322
897		328
