Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	16
Fine Gain:	1.0
Upper Discriminator:	1048
Lower Discriminator:	96
Calibration Coefficients:Elapsed Real Time:	1948.36
Elapsed Live Time:	1787.5
Start Time:	November 12, 2020, 10:15:17
End Time:	November 12, 2020, 10:52:03
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		0
32		0
33		0
34		0
35		0
36		0
37		0
38		0
39		0
40		0
41		0
42		0
43		0
44		0
45		0
46		0
47		0
48		0
49		1
50		0
51		0
52		0
53		1
54		4
55		2
56		1
57		1
58		2
59		0
60		0
61		3
62		0
63		0
64		3
65		3
66		0
67		4
68		5
69		2
70		4
71		4
72		3
73		6
74		4
75		9
76		5
77		10
78		12
79		14
80		14
81		22
82		20
83		20
84		30
85		29
86		30
87		31
88		41
89		46
90		36
91		130
92		25936
93		48490
94		48243
95		47865
96		47182
97		46762
98		46637
99		46291
100		46330
101		45960
102		45587
103		45186
104		45300
105		45291
106		45074
107		44409
108		44301
109		44457
110		44520
111		43666
112		44167
113		43891
114		44181
115		44011
116		43786
117		43803
118		43895
119		43860
120		43831
121		43722
122		43986
123		43777
124		43423
125		43320
126		43566
127		43168
128		43559
129		43150
130		42818
131		42915
132		42727
133		41777
134		41614
135		41437
136		40994
137		40837
138		40609
139		39840
140		39535
141		39470
142		39623
143		38911
144		39022
145		38911
146		38397
147		38515
148		38761
149		38236
150		38287
151		37891
152		38388
153		38316
154		37911
155		37864
156		38074
157		38126
158		38017
159		37655
160		38031
161		37548
162		37771
163		37896
164		37199
165		37373
166		37534
167		37163
168		37224
169		37133
170		37119
171		36717
172		36743
173		37111
174		36796
175		36810
176		36438
177		36279
178		36438
179		36604
180		36317
181		35859
182		36297
183		36283
184		36054
185		35845
186		35943
187		36544
188		35911
189		35556
190		36210
191		35990
192		35989
193		35917
194		36260
195		36010
196		35737
197		35631
198		35985
199		35898
200		36032
201		36144
202		35808
203		36387
204		35824
205		36296
206		36342
207		36243
208		36252
209		36255
210		36381
211		36673
212		36480
213		36650
214		36284
215		36558
216		36684
217		36313
218		36831
219		36205
220		36451
221		36380
222		36419
223		36598
224		36533
225		36674
226		36025
227		36014
228		36282
229		35998
230		36120
231		35517
232		35702
233		35833
234		35600
235		35468
236		34774
237		34722
238		34356
239		33931
240		33936
241		33500
242		33248
243		32846
244		32261
245		32048
246		31218
247		30874
248		30799
249		30389
250		30003
251		29944
252		29234
253		28834
254		28836
255		28816
256		28537
257		28363
258		29017
259		28767
260		29173
261		29263
262		29923
263		30183
264		31078
265		31897
266		32629
267		34159
268		35278
269		36758
270		38055
271		39332
272		41437
273		44235
274		45904
275		48319
276		51076
277		53883
278		57070
279		59930
280		63225
281		66847
282		69576
283		73808
284		77087
285		80525
286		84011
287		86598
288		90470
289		93251
290		96423
291		98657
292		101235
293		102694
294		103883
295		105446
296		105831
297		106522
298		106844
299		105708
300		105570
301		104036
302		102212
303		100001
304		98329
305		96446
306		93894
307		90748
308		88033
309		85787
310		83346
311		80160
312		78177
313		75426
314		73765
315		72154
316		70977
317		69019
318		68231
319		67754
320		67593
321		67374
322		67866
323		68860
324		69015
325		70073
326		71352
327		72499
328		74245
329		75414
330		76528
331		78270
332		79046
333		80482
334		81048
335		81734
336		82457
337		82369
338		82551
339		82597
340		81473
341		80130
342		78951
343		77138
344		75960
345		73227
346		70773
347		69289
348		65856
349		63113
350		60340
351		56524
352		54134
353		51197
354		47345
355		44440
356		41368
357		38307
358		34927
359		32361
360		29660
361		27339
362		24361
363		22568
364		20373
365		18116
366		16337
367		14726
368		13381
369		11955
370		10740
371		9876
372		8845
373		7914
374		7271
375		6570
376		6159
377		5687
378		5293
379		5058
380		4716
381		4302
382		4154
383		3918
384		3909
385		3841
386		3577
387		3629
388		3494
389		3381
390		3355
391		3246
392		3278
393		3160
