Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	16
Fine Gain:	1.0
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	228.81
Elapsed Live Time:	180.58
Start Time:	November 12, 2020, 09:58:45
End Time:	November 12, 2020, 10:02:34
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		2
1		1
2		13
3		43
4		1460
5		2795
6		214
7		327
8		581
9		2627
10		8657
11		10860
12		12737
13		14654
14		16867
15		18726
16		20115
17		19923
18		18891
19		18459
20		17575
21		16761
22		16225
23		15695
24		15681
25		15289
26		15324
27		15691
28		16101
29		15887
30		15912
31		15460
32		15135
33		15152
34		14756
35		14656
36		14395
37		14389
38		14376
39		14308
40		14560
41		14696
42		15018
43		14997
44		15178
45		15064
46		15380
47		14932
48		15121
49		15096
50		15318
51		15082
52		14599
53		14777
54		14852
55		14671
56		14517
57		14089
58		14126
59		14085
60		13964
61		13597
62		13547
63		13412
64		13066
65		13330
66		13099
67		12953
68		12752
69		12744
70		12573
71		12377
72		12677
73		12244
74		12359
75		12088
76		11977
77		11768
78		11504
79		11419
80		11172
81		10870
82		10358
83		10102
84		9745
85		9378
86		9215
87		8715
88		8553
89		8142
90		7804
91		7763
92		7362
93		7239
94		7130
95		6978
96		6828
97		6633
98		6713
99		6491
100		6373
101		6248
102		6459
103		6205
104		6296
105		6446
106		6624
107		6726
108		7216
109		7466
110		7845
111		8481
112		9451
113		10290
114		11755
115		13536
116		15282
117		17869
118		20732
119		23691
120		27333
121		31137
122		34909
123		38380
124		42831
125		46520
126		49705
127		52143
128		54182
129		55369
130		56162
131		55740
132		54685
133		52027
134		49706
135		46057
136		42395
137		38385
138		34320
139		30138
140		26264
141		22234
142		18848
143		15760
144		13321
145		11110
146		9226
147		7859
148		6617
149		5666
150		5013
151		4556
152		4140
153		3806
154		3759
155		3586
156		3427
157		3393
158		3412
159		3382
160		3223
161		3243
162		3214
163		3171
164		3295
165		3204
166		3183
167		3139
168		3166
169		3144
170		3296
171		3105
172		3265
173		3229
174		3259
175		3296
176		3333
177		3244
178		3335
179		3254
180		3258
181		3398
182		3223
183		3422
184		3332
185		3237
186		3355
187		3175
188		3379
189		3275
190		3236
191		3210
192		3130
193		3076
194		3175
195		3195
196		3044
197		3125
198		3065
199		3092
200		3131
201		3068
202		3103
203		3080
204		3040
205		2989
206		3003
207		3077
208		2978
209		3001
210		2997
211		2963
212		2921
213		3027
214		3057
215		2899
216		2859
217		2893
218		2920
219		2929
220		2982
221		2870
222		2881
223		2864
224		2840
225		2839
226		2911
227		2992
228		2945
229		2778
230		2928
231		2881
232		2950
233		2891
234		2884
235		2874
236		2925
237		2945
238		2903
239		2950
240		2985
241		2919
242		2818
243		2872
244		2894
245		3001
246		2975
247		2926
248		2862
249		2851
250		2824
251		2846
252		2776
253		2808
254		2806
255		2720
256		2822
257		2741
258		2722
259		2691
260		2658
261		2683
262		2677
263		2487
264		2469
265		2396
266		2384
267		2408
268		2330
269		2364
270		2279
271		2166
272		2193
273		2087
274		2088
275		2039
276		2018
277		1991
278		2022
279		1898
280		1905
281		1954
282		1933
283		1955
284		1879
285		1889
286		2061
287		1907
288		2077
289		2049
290		2133
291		2371
292		2290
293		2523
294		2582
295		2725
296		2781
297		2964
298		3212
299		3299
300		3555
301		3506
302		3854
303		4057
304		4408
305		4570
306		4855
307		5207
308		5401
309		5586
310		5883
311		6009
312		6467
313		6671
314		6941
315		7215
316		7576
317		7543
318		7739
319		7785
320		8003
321		8135
322		8151
323		8153
324		8255
325		8137
326		8280
327		8013
328		7875
329		7851
330		7807
331		7600
332		7316
333		6975
334		6795
335		6395
336		6231
337		6060
338		5712
339		5397
340		5027
341		4889
342		4603
343		4220
344		4073
345		3762
346		3388
347		3446
348		3079
349		2846
350		2676
351		2579
352		2389
353		2252
354		2160
355		2026
356		1905
357		1863
358		1795
359		1698
360		1741
361		1619
362		1622
363		1565
364		1562
365		1574
366		1581
367		1606
368		1584
369		1586
370		1504
371		1532
372		1533
373		1524
374		1567
375		1503
376		1524
377		1513
378		1495
379		1543
380		1577
381		1469
382		1476
383		1419
384		1516
385		1507
386		1490
387		1518
388		1472
389		1523
390		1425
391		1429
392		1437
393		1393
394		1385
395		1421
396		1429
397		1376
398		1294
399		1302
400		1285
401		1261
402		1311
403		1259
404		1227
405		1262
406		1254
407		1129
408		1118
409		1119
410		1097
411		1056
412		1035
413		1043
414		1070
415		1052
416		1024
417		997
418		1007
419		1058
420		952
421		1029
422		951
423		968
424		991
425		1003
426		980
427		996
428		1020
429		1034
430		1164
431		1098
432		1114
433		1168
434		1179
435		1214
436		1257
437		1338
438		1369
439		1470
440		1408
441		1537
442		1565
443		1649
444		1702
445		1837
446		1896
447		1942
448		1988
449		2065
450		1971
451		2148
452		2221
453		2207
454		2267
455		2295
456		2215
457		2362
458		2305
459		2357
460		2323
461		2337
462		2346
463		2224
464		2197
465		2152
466		2153
467		2127
468		1872
469		1929
470		1811
471		1691
472		1683
473		1546
474		1522
475		1471
476		1380
477		1301
478		1191
479		1060
480		1018
481		976
482		846
483		785
484		759
485		721
486		636
487		587
488		474
489		512
490		433
491		386
492		368
493		311
494		303
495		293
496		298
497		263
498		255
499		209
500		220
501		220
502		200
503		189
504		174
505		189
506		183
507		158
508		171
509		159
510		154
511		145
512		155
513		158
514		140
515		157
516		147
517		146
518		152
519		145
520		119
521		127
522		111
523		108
524		146
525		143
526		137
527		126
528		102
529		129
530		136
531		123
532		136
533		96
534		99
535		130
536		104
537		102
538		117
539		98
540		123
541		115
542		129
543		95
544		118
545		115
546		100
547		121
548		116
549		114
550		94
551		116
