Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		0
32		0
33		0
34		0
35		0
36		0
37		0
38		0
39		0
40		0
41		0
42		0
43		0
44		0
45		0
46		0
47		0
48		0
49		0
50		0
51		0
52		0
53		0
54		0
55		0
56		0
57		1
58		0
59		0
60		0
61		0
62		1
63		1
64		1
65		0
66		0
67		0
68		0
69		1
70		0
71		0
72		1
73		0
74		0
75		0
76		0
77		0
78		1
79		1
80		3
81		3
82		2
83		4
84		3
85		0
86		5
87		5
88		7
89		3
90		8
91		24
92		6929
93		11955
94		11515
95		10945
96		11025
97		10703
98		10748
99		10427
100		10272
101		10250
102		10223
103		10391
104		10257
105		10307
106		10622
107		10836
108		11149
109		11687
110		12403
111		13356
112		14520
113		16085
114		18063
115		20535
116		23334
117		27055
118		31416
119		35581
120		41023
121		46846
122		52332
123		58779
124		65171
125		70267
126		75801
127		79797
128		83466
129		85513
130		86260
131		86007
132		83631
133		80530
134		76466
135		71219
136		65263
137		58424
138		52009
139		45647
140		40004
141		33855
142		28473
143		23739
144		19791
145		16100
146		13846
147		11721
148		9783
149		8596
150		7491
151		6871
152		6337
153		5861
154		5645
155		5572
156		5379
157		5205
158		5002
159		4950
160		4885
161		4823
162		4795
163		4680
164		4819
165		4639
166		4722
167		4555
168		4477
169		4488
170		4510
171		4450
172		4516
173		4484
174		4474
175		4354
176		4531
177		4415
178		4428
179		4293
180		4494
181		4452
182		4488
183		4324
184		4449
185		4387
186		4274
187		4316
188		4375
189		4363
190		4299
191		4302
192		4153
193		4201
194		4128
195		4170
196		4096
197		4158
198		3939
199		3921
200		4037
201		3953
202		4013
203		3870
204		3945
205		4092
206		4000
207		3925
208		3924
209		3865
210		3974
211		3898
212		3728
213		3847
214		3824
215		3799
216		3820
217		3789
218		3763
219		3848
220		3676
221		3686
222		3898
223		3768
224		3791
225		3673
226		3692
227		3764
228		3750
229		3688
230		3676
231		3766
232		3656
233		3650
234		3674
235		3662
236		3573
237		3659
238		3717
239		3595
240		3776
241		3644
242		3700
243		3642
244		3725
245		3608
246		3661
247		3712
248		3620
249		3621
250		3601
251		3564
252		3565
253		3660
254		3550
255		3620
256		3602
257		3638
258		3437
259		3374
260		3493
261		3416
262		3503
263		3316
264		3117
265		3189
266		3163
267		3159
268		3126
269		3017
270		2877
271		2941
272		2806
273		2812
274		2797
275		2737
276		2648
277		2560
278		2598
279		2539
280		2532
281		2587
282		2557
283		2544
284		2593
285		2574
286		2714
287		2721
288		2817
289		2898
290		3004
291		3155
292		3348
293		3447
294		3645
295		3849
296		3989
297		4267
298		4682
299		5008
300		5239
301		5713
302		6076
303		6418
304		7136
305		7246
306		7681
307		8108
308		8609
309		8978
310		9632
311		10013
312		10502
313		10915
314		11509
315		11662
316		12302
317		12415
318		12668
319		13147
320		13084
321		13378
322		13405
323		13521
324		13479
325		13263
326		13069
327		12802
328		12773
329		12610
330		12110
331		11756
332		11261
333		10881
334		10451
335		9925
336		9252
337		8945
338		8221
339		7681
340		7451
341		6910
342		6342
343		5805
344		5353
345		4976
346		4480
347		4030
348		3734
349		3361
350		3259
351		2946
352		2661
353		2511
354		2211
355		1984
356		1847
357		1785
358		1622
359		1557
360		1492
361		1448
362		1401
363		1317
364		1238
365		1248
366		1221
367		1126
368		1179
369		1157
370		1165
371		1064
372		1120
373		1109
374		1091
375		1045
376		1041
377		1066
378		1033
379		986
380		1022
381		1037
382		985
383		1009
384		989
385		1054
386		1067
387		997
388		954
389		989
390		1007
391		937
392		1002
393		947
394		944
395		932
396		911
397		946
398		927
399		904
400		940
401		906
402		851
403		895
404		870
405		833
406		843
407		798
408		836
409		792
410		810
411		823
412		796
413		762
414		751
415		798
416		770
417		772
418		771
419		714
420		716
421		768
422		700
423		785
424		762
425		756
426		806
427		810
428		807
429		805
430		826
431		874
432		921
433		870
434		931
435		885
436		992
437		974
438		1011
439		1114
440		1064
441		1130
442		1110
443		1135
444		1225
445		1299
446		1358
447		1292
448		1368
449		1444
450		1504
451		1462
