Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	16
Fine Gain:	1.00
Upper Discriminator:	1048
Lower Discriminator:	30
Calibration Coefficients:Elapsed Real Time:	314.25
Elapsed Live Time:	300.0
Start Time:	November 17, 2020, 10:32:22
End Time:	November 17, 2020, 10:37:36
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	9	1023	1169893	1062807	0	212

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		1
10		2
11		2
12		5
13		9
14		5
15		6
16		8
17		12
18		7
19		11
20		13
21		17
22		19
23		12
24		26
25		25
26		1147
27		15641
28		16391
29		16568
30		15678
31		15374
32		14769
33		14296
34		13783
35		13080
36		12604
37		12250
38		11788
39		11273
40		11020
41		10872
42		10174
43		10130
44		9700
45		9536
46		9235
47		8985
48		8979
49		8693
50		8399
51		8222
52		8041
53		7756
54		7821
55		7415
56		7458
57		7131
58		7108
59		6807
60		6820
61		6510
62		6371
63		6290
64		6014
65		5721
66		5771
67		5685
68		5369
69		5297
70		5243
71		5183
72		5088
73		4937
74		4784
75		4763
76		4612
77		4618
78		4549
79		4389
80		4418
81		4219
82		4285
83		4157
84		4032
85		3940
86		3966
87		3875
88		3730
89		3716
90		3703
91		3599
92		3648
93		3698
94		3497
95		3527
96		3429
97		3443
98		3316
99		3240
100		3129
101		3155
102		3043
103		3076
104		3007
105		2963
106		2998
107		2724
108		2945
109		2951
110		2887
111		2817
112		2910
113		2815
114		2742
115		2825
116		2661
117		2846
118		2830
119		2754
120		2785
121		2883
122		2910
123		2901
124		2857
125		2865
126		2915
127		2902
128		2972
129		2890
130		2930
131		2947
132		2892
133		2825
134		2901
135		2836
136		2679
137		2645
138		2680
139		2545
140		2477
141		2444
142		2428
143		2285
144		2335
145		2234
146		2150
147		2069
148		2099
149		2091
150		2065
151		1961
152		1976
153		1943
154		1891
155		1781
156		1892
157		1856
158		1868
159		1854
160		1782
161		1892
162		1898
163		1790
164		1791
165		1821
166		1766
167		1781
168		1751
169		1587
170		1658
171		1596
172		1660
173		1666
174		1637
175		1624
176		1578
177		1522
178		1580
179		1493
180		1463
181		1466
182		1470
183		1421
184		1506
185		1439
186		1438
187		1540
188		1405
189		1437
190		1421
191		1400
192		1418
193		1426
194		1364
195		1309
196		1363
197		1352
198		1370
199		1381
200		1261
201		1333
202		1333
203		1343
204		1296
205		1358
206		1357
207		1281
208		1249
209		1293
210		1268
211		1190
212		1307
213		1242
214		1261
215		1191
216		1245
217		1284
218		1177
219		1283
220		1266
221		1241
222		1265
223		1175
224		1197
225		1195
226		1175
227		1201
228		1133
229		1205
230		1136
231		1132
232		1130
233		1134
234		1143
235		1144
236		1072
237		1118
238		1100
239		1173
240		1107
241		1094
242		1064
243		1070
244		1102
245		1063
246		1095
247		1084
248		1084
249		1140
250		1030
251		1044
252		1074
253		1123
254		1040
255		1061
256		1061
257		1037
258		1055
259		1048
260		1051
261		1024
262		1058
263		1026
264		1006
265		1026
266		1006
267		1066
268		1053
269		1005
270		967
271		963
272		989
273		998
274		997
275		1013
276		951
277		966
278		940
279		972
280		980
281		918
282		962
283		979
284		998
285		950
286		897
287		935
288		956
289		940
290		924
291		956
292		931
293		948
294		941
295		941
296		978
297		908
298		914
299		957
300		919
301		906
302		947
303		891
304		968
305		923
306		899
307		857
308		872
309		878
310		920
311		889
312		900
313		905
314		879
315		889
316		866
317		890
318		912
319		896
320		928
321		883
322		930
323		868
324		898
325		815
326		870
327		873
328		851
329		855
330		821
331		847
332		813
333		832
334		791
335		819
336		817
337		816
338		848
339		878
340		802
341		846
342		858
343		818
344		811
345		759
346		844
347		811
348		797
349		803
350		824
351		824
352		798
353		818
354		809
355		812
356		769
357		836
358		814
359		847
360		762
361		818
362		791
363		761
364		787
365		778
366		766
367		808
368		819
369		816
370		754
371		774
372		804
373		768
374		785
375		812
376		826
377		736
378		767
379		727
380		738
381		734
382		706
383		788
384		720
385		781
386		738
387		782
388		768
389		773
390		703
391		759
392		752
393		786
394		695
395		754
396		728
397		731
398		735
399		756
400		664
401		718
402		737
403		684
