Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	16
Fine Gain:	1.00
Upper Discriminator:	1048
Lower Discriminator:	30
Calibration Coefficients:Elapsed Real Time:	128.9
Elapsed Live Time:	120.0
Start Time:	November 17, 2020, 11:56:03
End Time:	November 17, 2020, 11:58:13
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	9	1023	686731	682670	0	96

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		3
11		6
12		5
13		10
14		5
15		5
16		8
17		9
18		8
19		7
20		10
21		9
22		14
23		11
24		12
25		25
26		617
27		9335
28		9327
29		8708
30		8102
31		7349
32		7034
33		6515
34		6238
35		6250
36		6072
37		5960
38		5837
39		5974
40		5914
41		5855
42		5736
43		5642
44		5541
45		5397
46		5255
47		5196
48		5064
49		5018
50		4961
51		4682
52		4510
53		4343
54		4310
55		4060
56		4099
57		3992
58		3789
59		3688
60		3680
61		3557
62		3542
63		3569
64		3679
65		3844
66		3994
67		4130
68		4533
69		4974
70		5213
71		5518
72		6086
73		6413
74		6683
75		7135
76		7474
77		7573
78		8024
79		8107
80		8216
81		8537
82		8869
83		8912
84		9290
85		9823
86		10567
87		11280
88		12210
89		12950
90		13645
91		14092
92		14730
93		15040
94		14907
95		14868
96		14286
97		13676
98		12706
99		11775
100		10609
101		9504
102		8210
103		7148
104		6119
105		5306
106		4428
107		3768
108		3260
109		2725
110		2392
111		1985
112		1685
113		1507
114		1295
115		1195
116		1102
117		1027
118		950
119		898
120		819
121		803
122		790
123		766
124		731
125		700
126		709
127		699
128		666
129		627
130		616
131		669
132		562
133		572
134		549
135		559
136		546
137		504
138		530
139		485
140		495
141		426
142		467
143		442
144		438
145		442
146		452
147		418
148		409
149		419
150		425
151		409
152		392
153		404
154		347
155		380
156		374
157		367
158		369
159		422
160		359
161		355
162		353
163		374
164		337
165		326
166		362
167		316
168		338
169		339
170		348
171		325
172		296
173		270
174		284
175		336
176		282
177		288
178		280
179		248
180		279
181		246
182		295
183		259
184		242
185		263
186		247
187		251
188		253
189		219
190		229
191		222
192		230
193		237
194		232
195		245
196		234
197		251
198		222
199		221
200		226
201		224
202		211
203		198
204		200
205		193
206		195
207		215
208		204
209		171
210		201
211		179
212		180
213		196
214		176
215		197
216		203
217		177
218		166
219		179
220		182
221		182
222		195
223		168
224		164
225		159
226		166
227		168
228		184
229		150
230		160
231		155
232		187
233		160
234		165
235		190
236		155
237		151
238		156
239		127
240		178
241		169
242		150
243		146
244		164
245		159
246		155
247		142
248		154
249		157
250		143
251		181
252		174
253		144
254		143
255		147
256		164
257		122
258		122
259		139
260		155
261		141
262		130
263		127
264		116
265		138
266		139
267		124
268		145
269		131
270		142
271		137
272		143
273		127
274		118
275		118
276		129
277		137
278		134
279		118
280		142
281		151
282		133
283		126
284		139
285		94
286		138
287		125
288		151
289		152
290		141
291		130
292		119
293		121
294		116
295		140
296		123
297		126
298		122
299		127
300		122
301		127
302		117
303		117
304		103
305		118
306		129
307		104
308		109
309		105
310		105
311		113
312		124
313		126
314		104
315		118
316		111
317		96
318		119
319		128
320		115
321		109
322		115
323		121
324		95
325		109
326		115
327		91
328		102
329		103
330		109
331		104
332		90
333		93
334		105
335		93
336		80
337		104
338		102
339		83
340		124
341		99
342		106
343		94
344		93
345		113
346		103
347		82
348		103
349		101
350		93
351		102
352		95
353		94
354		104
355		102
356		87
357		85
358		94
359		96
360		109
361		82
362		91
363		90
364		98
365		86
366		78
367		89
368		104
369		93
370		90
371		96
372		102
373		98
374		105
375		90
376		86
377		74
378		83
379		82
380		78
381		65
382		84
383		78
384		77
385		89
386		90
387		67
388		86
389		94
390		76
391		74
392		78
393		71
394		67
395		73
396		82
397		78
398		79
399		74
400		77
401		63
402		67
403		64
404		56
405		67
406		81
407		62
408		71
409		70
410		73
411		68
412		65
413		66
414		59
415		59
416		50
417		56
418		60
419		66
420		77
421		62
422		56
423		71
424		50
425		51
426		55
427		56
428		60
429		67
430		67
431		63
432		60
433		54
434		48
435		57
436		49
437		53
438		54
439		59
440		39
441		56
442		54
