Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	16
Fine Gain:	1.00
Upper Discriminator:	1048
Lower Discriminator:	30
Calibration Coefficients:Elapsed Real Time:	124.49
Elapsed Live Time:	120.0
Start Time:	November 17, 2020, 11:59:21
End Time:	November 17, 2020, 12:01:25
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	9	1023	373823	369762	0	130

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		3
11		2
12		0
13		2
14		0
15		1
16		0
17		1
18		3
19		4
20		2
21		2
22		8
23		4
24		4
25		2
26		304
27		5470
28		5844
29		5654
30		5424
31		5434
32		5036
33		4841
34		4856
35		4493
36		4365
37		4228
38		4133
39		3934
40		3787
41		3644
42		3641
43		3570
44		3407
45		3387
46		3325
47		3253
48		3074
49		3072
50		3092
51		3096
52		2960
53		2977
54		2922
55		2814
56		2801
57		2712
58		2713
59		2641
60		2572
61		2446
62		2455
63		2433
64		2325
65		2166
66		2189
67		2236
68		2129
69		2078
70		1961
71		1991
72		1880
73		1775
74		1776
75		1759
76		1654
77		1673
78		1523
79		1561
80		1565
81		1524
82		1467
83		1483
84		1395
85		1443
86		1347
87		1378
88		1270
89		1302
90		1314
91		1246
92		1251
93		1265
94		1184
95		1215
96		1140
97		1126
98		1114
99		1115
100		1126
101		1089
102		1120
103		1073
104		1034
105		1109
106		1007
107		1095
108		1020
109		1004
110		1075
111		1007
112		957
113		987
114		1052
115		996
116		1028
117		1007
118		1018
119		951
120		988
121		962
122		929
123		918
124		903
125		915
126		816
127		837
128		856
129		785
130		783
131		787
132		722
133		772
134		664
135		684
136		688
137		689
138		626
139		618
140		634
141		592
142		627
143		612
144		586
145		642
146		574
147		569
148		632
149		672
150		666
151		730
152		770
153		859
154		932
155		1037
156		1134
157		1214
158		1313
159		1541
160		1737
161		1952
162		1992
163		2299
164		2552
165		2688
166		2960
167		3187
168		3281
169		3426
170		3511
171		3599
172		3680
173		3648
174		3779
175		3661
176		3457
177		3425
178		3317
179		3215
180		2848
181		2795
182		2567
183		2131
184		2050
185		1803
186		1704
187		1390
188		1308
189		1163
190		917
191		852
192		727
193		642
194		593
195		489
196		410
197		386
198		312
199		320
200		251
201		242
202		238
203		230
204		237
205		234
206		201
207		218
208		213
209		194
210		212
211		167
212		206
213		186
214		203
215		181
216		193
217		196
218		219
219		164
220		164
221		198
222		199
223		187
224		177
225		170
226		173
227		177
228		179
229		168
230		187
231		181
232		164
233		147
234		152
235		153
236		158
237		148
238		159
239		164
240		175
241		163
242		149
243		150
244		159
245		164
246		145
247		143
248		127
249		151
250		139
251		123
252		145
253		127
254		118
255		135
256		135
257		158
258		118
259		152
260		128
261		133
262		149
263		146
264		145
265		112
266		142
267		139
268		169
269		131
270		153
271		130
272		119
273		123
274		110
275		118
276		144
277		124
278		126
279		138
280		134
281		115
282		136
283		137
284		129
285		131
286		134
287		129
288		133
289		132
290		114
291		130
292		131
293		138
294		111
295		134
296		107
297		125
298		117
299		144
300		111
301		128
302		124
303		127
304		101
305		88
306		107
307		118
308		108
309		114
310		109
311		119
312		112
313		115
314		115
315		85
316		113
317		114
318		103
319		116
320		105
321		106
322		101
323		109
324		113
325		95
326		82
327		92
328		110
329		93
330		89
331		97
332		99
333		91
334		108
335		101
336		82
337		100
338		100
339		92
340		110
341		96
342		89
343		93
344		99
345		93
346		112
347		105
348		89
349		90
350		101
351		91
352		94
353		104
354		84
355		107
356		91
357		96
358		103
359		89
360		90
361		83
362		89
363		101
364		88
365		102
366		115
367		94
368		100
369		89
370		99
371		96
372		93
373		74
374		91
375		90
376		67
377		85
378		94
379		96
380		97
381		75
382		96
383		78
384		89
385		97
386		102
387		82
388		81
389		95
390		61
391		81
392		83
393		68
394		71
395		58
396		64
397		71
398		69
399		94
400		52
401		61
402		74
403		57
404		82
405		70
406		58
407		57
408		71
409		58
410		55
411		72
412		64
413		67
414		45
415		52
416		67
417		56
418		50
419		53
420		59
421		53
422		59
423		50
424		55
425		50
426		59
427		57
428		73
429		55
430		45
431		57
432		62
433		74
434		56
