Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	16
Fine Gain:	1.25
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	16.97
Elapsed Live Time:	13.87
Start Time:	November 11, 2020, 10:03:23
End Time:	November 11, 2020, 10:07:17
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		1
3		1
4		241
5		233
6		70
7		56
8		83
9		402
10		1141
11		1180
12		1218
13		1247
14		1353
15		1325
16		1303
17		1354
18		1566
19		1882
20		2238
21		2582
22		2744
23		2858
24		2784
25		2597
26		2300
27		1890
28		1599
29		1367
30		1169
31		994
32		876
33		713
34		689
35		644
36		587
37		563
38		546
39		521
40		491
41		552
42		548
43		522
44		543
45		499
46		499
47		548
48		544
49		537
50		531
51		509
52		524
53		515
54		473
55		512
56		463
57		490
58		446
59		468
60		436
61		397
62		434
63		380
64		385
65		338
66		353
67		365
68		340
69		336
70		311
71		328
72		328
73		312
74		335
75		331
76		314
77		383
78		396
79		389
80		410
81		450
82		519
83		499
84		555
85		574
86		676
87		642
88		684
89		736
90		735
91		805
92		778
93		783
94		872
95		900
96		824
97		875
98		877
99		910
100		920
101		1016
102		1029
103		1053
104		1209
105		1288
106		1289
107		1423
108		1451
109		1534
110		1461
111		1535
112		1534
113		1518
114		1464
115		1435
116		1319
117		1269
118		1133
119		1018
120		934
121		811
122		761
123		574
124		576
125		463
126		387
127		337
128		336
129		264
130		220
131		181
132		160
133		170
134		133
135		131
136		113
137		96
138		76
139		95
140		79
141		84
142		71
143		82
144		78
145		60
146		85
147		71
148		65
149		67
150		71
151		65
152		53
153		68
154		74
155		69
156		62
157		62
158		43
159		62
160		51
161		42
162		57
163		50
164		46
165		63
166		42
167		44
168		36
169		37
170		44
171		46
172		39
173		45
174		48
175		36
176		34
177		48
178		50
179		36
180		36
181		38
182		37
183		33
184		36
185		52
186		39
187		42
188		50
189		40
190		31
191		46
192		35
193		35
194		28
195		37
196		35
197		31
198		27
199		26
200		27
201		29
202		27
203		27
204		31
205		30
206		33
207		34
208		17
209		25
210		31
211		29
212		23
213		34
214		27
215		26
216		34
217		23
218		31
219		28
220		18
221		25
222		22
223		22
224		24
225		30
226		25
227		20
228		17
229		18
230		33
231		27
232		16
233		16
234		21
235		23
236		16
237		25
238		22
239		14
240		20
241		12
242		11
243		33
244		21
245		18
246		20
247		26
248		21
249		18
250		17
251		18
252		16
253		19
254		15
255		24
256		17
257		15
258		21
259		12
260		18
261		17
262		16
263		20
264		21
265		18
266		20
267		17
268		18
269		14
270		19
271		17
272		17
273		15
274		16
275		20
276		12
277		14
278		16
279		22
280		11
281		17
282		13
283		13
284		17
285		15
286		21
287		13
288		9
289		13
290		20
291		16
292		14
293		12
294		17
295		10
296		22
297		10
298		12
299		13
300		5
301		7
302		12
303		13
304		15
305		13
306		5
307		15
308		15
309		20
310		12
311		13
312		10
313		15
314		12
315		8
316		16
317		12
318		16
319		15
320		11
321		16
322		9
323		14
324		10
325		12
326		15
327		21
328		17
329		8
330		11
331		9
332		12
333		16
334		13
335		9
336		16
337		9
338		12
339		11
340		6
341		12
342		17
343		11
344		11
345		11
346		12
347		17
348		10
349		9
350		12
351		15
352		9
353		12
354		15
355		13
356		12
357		10
358		8
359		9
360		5
361		18
362		11
363		11
364		12
365		18
366		11
367		13
368		9
369		4
370		14
371		12
372		13
373		12
374		14
375		6
376		11
377		11
378		12
379		9
380		13
381		9
382		5
383		12
384		13
385		19
386		5
387		12
388		14
389		7
390		13
391		9
392		9
393		7
394		11
395		12
396		7
397		9
398		10
399		17
400		11
401		17
402		12
403		15
404		16
405		11
406		10
407		6
408		4
409		13
410		7
411		11
412		8
413		11
414		11
415		12
416		7
417		11
418		9
419		12
420		5
421		8
422		13
423		8
424		11
425		11
426		16
427		8
428		11
429		15
430		12
431		12
432		12
433		6
434		9
435		9
436		8
437		11
438		11
439		16
440		10
441		10
442		6
443		7
444		6
445		10
446		11
447		8
448		9
449		10
450		14
451		7
452		7
453		8
454		11
455		10
456		10
457		8
458		10
459		10
