Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1250
Conversion Gain:,1024
Coarse Gain:,16
Fine Gain:,1.25
Upper Discriminator:,1048
Lower Discriminator:,30
Calibration Coefficients:Elapsed Real Time:,673.35
Elapsed Live Time:,573.36
Start Time:,November 11, 2020, 09:49:59
End Time:,November 11, 2020, 10:01:13
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,2
9,,10
10,,29
11,,87
12,,85
13,,132
14,,127
15,,158
16,,199
17,,206
18,,249
19,,232
20,,252
21,,279
22,,325
23,,380
24,,371
25,,508
26,,3431
27,,30836
28,,34017
29,,33017
30,,31941
31,,30510
32,,29646
33,,28804
34,,28082
35,,27725
36,,26674
37,,26615
38,,26364
39,,25945
40,,25532
41,,25515
42,,25291
43,,24848
44,,24747
45,,24446
46,,24114
47,,24155
48,,24197
49,,23758
50,,24020
51,,23436
52,,23356
53,,23403
54,,23458
55,,23476
56,,23414
57,,23531
58,,23740
59,,24179
60,,24299
61,,24398
62,,24743
63,,24987
64,,25519
65,,26038
66,,26272
67,,26646
68,,26721
69,,27166
70,,26739
71,,26954
72,,27028
73,,26929
74,,26934
75,,26827
76,,26747
77,,26130
78,,25982
79,,25478
80,,25428
81,,25131
82,,24750
83,,24385
84,,24154
85,,23898
86,,23639
87,,23205
88,,23145
89,,22878
90,,22561
91,,22444
92,,21912
93,,21983
94,,21773
95,,21519
96,,21291
97,,21256
98,,21016
99,,20677
100,,20657
101,,20297
102,,20164
103,,20046
104,,19943
105,,19718
106,,19717
107,,19478
108,,19241
109,,19293
110,,19136
111,,19015
112,,19073
113,,18606
114,,18317
115,,18656
116,,18504
117,,18147
118,,18270
119,,17885
120,,17833
121,,17969
122,,17848
123,,17504
124,,17526
125,,17482
126,,17317
127,,17115
128,,16991
129,,17005
130,,17202
131,,16829
132,,16968
133,,16759
134,,16604
135,,16711
136,,16559
137,,16675
138,,16632
139,,16486
140,,16352
141,,16232
142,,16418
143,,16230
144,,16546
145,,16229
146,,16298
147,,16399
148,,16217
149,,16331
150,,16276
151,,16323
152,,16271
153,,16304
154,,16119
155,,16275
156,,16166
157,,15863
158,,16051
159,,15950
160,,16042
161,,15747
162,,15721
163,,15458
164,,15620
165,,15581
166,,15530
167,,15290
168,,15454
169,,15024
170,,15193
171,,15084
172,,14773
173,,14849
174,,14687
175,,14782
176,,14721
177,,14472
178,,14435
179,,14493
180,,14370
181,,14422
182,,14489
183,,14345
184,,14359
185,,14326
186,,14566
187,,14422
188,,14308
189,,14186
190,,14296
191,,14030
192,,14184
193,,14383
194,,14214
195,,14134
196,,14062
197,,14195
198,,14454
199,,14270
200,,14265
201,,14194
202,,14027
203,,14244
204,,14045
205,,14325
206,,14095
207,,14337
208,,14051
209,,13942
210,,14246
211,,14277
212,,13958
213,,13874
214,,14164
215,,13626
216,,13975
217,,13700
218,,14017
219,,13889
220,,13837
221,,13769
222,,13963
223,,13717
224,,13956
225,,13702
226,,13964
227,,13809
228,,13759
229,,13652
230,,13745
231,,13501
232,,13729
233,,13730
234,,13614
235,,13654
236,,13661
237,,13823
238,,13751
239,,13681
240,,13896
241,,13752
242,,13913
243,,13902
244,,13820
245,,13875
246,,13741
247,,13888
248,,13919
249,,13760
250,,13788
251,,14053
252,,13818
253,,13972
254,,14013
255,,14133
256,,14062
257,,13953
258,,14110
259,,14072
260,,14045
261,,14014
262,,13773
263,,14034
264,,14013
265,,14173
266,,14007
267,,14052
268,,14030
269,,13961
270,,14073
271,,14126
272,,14112
273,,14010
274,,14110
275,,14183
276,,13755
277,,13803
278,,13825
279,,13972
280,,13865
281,,13919
282,,13900
283,,13937
284,,13901
285,,13832
286,,13796
287,,13950
288,,13867
289,,13526
290,,13573
291,,13527
292,,13359
293,,13333
294,,13315
295,,13116
296,,12992
297,,12928
298,,12699
299,,12722
300,,12255
301,,12381
302,,12429
303,,12045
304,,11953
305,,11921
306,,11605
307,,11614
308,,11639
309,,11302
310,,11418
311,,11288
312,,11321
313,,11053
314,,11043
315,,11130
316,,11043
317,,11047
