Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1250
Conversion Gain:,1024
Coarse Gain:,16
Fine Gain:,1.25
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,235.63
Elapsed Live Time:,197.22
Start Time:,November 11, 2020, 11:21:10
End Time:,November 11, 2020, 11:25:06
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,2
1,,1
2,,5
3,,28
4,,994
5,,2444
6,,223
7,,182
8,,351
9,,1272
10,,4306
11,,5548
12,,6615
13,,8017
14,,10009
15,,11927
16,,14034
17,,15528
18,,16743
19,,17439
20,,18175
21,,18470
22,,19005
23,,18463
24,,18396
25,,17986
26,,17924
27,,17689
28,,17890
29,,18046
30,,18040
31,,17730
32,,17448
33,,17073
34,,16661
35,,16687
36,,16376
37,,16167
38,,15703
39,,15540
40,,15411
41,,15144
42,,14872
43,,14562
44,,14239
45,,14095
46,,13770
47,,13299
48,,13085
49,,12577
50,,12426
51,,12259
52,,12034
53,,11869
54,,11458
55,,11419
56,,11068
57,,10963
58,,10634
59,,10514
60,,10564
61,,10240
62,,10183
63,,10028
64,,9963
65,,9647
66,,9498
67,,9293
68,,9212
69,,9126
70,,9156
71,,8911
72,,8731
73,,8389
74,,8572
75,,8243
76,,8248
77,,8077
78,,7982
79,,7742
80,,7644
81,,7539
82,,7317
83,,7084
84,,7194
85,,6898
86,,6858
87,,6737
88,,6654
89,,6453
90,,6539
91,,6381
92,,6448
93,,6233
94,,6274
95,,5950
96,,6173
97,,5999
98,,5829
99,,5801
100,,5814
101,,5522
102,,5647
103,,5414
104,,5358
105,,5408
106,,5463
107,,5274
108,,5288
109,,5274
110,,5263
111,,5150
112,,4931
113,,4931
114,,4785
115,,4847
116,,4707
117,,4718
118,,4616
119,,4522
120,,4609
121,,4574
122,,4474
123,,4407
124,,4448
125,,4246
126,,4373
127,,4190
128,,4232
129,,4156
130,,4071
131,,4174
132,,4053
133,,3927
134,,4116
135,,4028
136,,3895
137,,4016
138,,3973
139,,3887
140,,3960
141,,3910
142,,3958
143,,3947
144,,3880
145,,3825
146,,4002
147,,4020
148,,3949
149,,3901
150,,3977
151,,4090
152,,3926
153,,4017
154,,3959
155,,3986
156,,3938
157,,3851
158,,3987
159,,3816
160,,3895
161,,3683
162,,3668
163,,3626
164,,3619
165,,3560
166,,3416
167,,3326
168,,3303
169,,3204
170,,3154
171,,3089
172,,3091
173,,2973
174,,2874
175,,2848
176,,2798
177,,2710
178,,2731
179,,2612
180,,2697
181,,2669
182,,2634
183,,2508
184,,2603
185,,2550
186,,2410
187,,2452
188,,2490
189,,2547
190,,2481
191,,2401
192,,2396
193,,2425
194,,2317
195,,2376
196,,2379
197,,2308
198,,2275
199,,2265
200,,2254
201,,2251
202,,2279
203,,2276
204,,2231
205,,2193
206,,2253
207,,2147
208,,2162
209,,2066
210,,2177
211,,2056
212,,2130
213,,2101
214,,2090
215,,2024
216,,2021
217,,1919
218,,1998
219,,1960
220,,1925
221,,1972
222,,1947
223,,1993
224,,1901
225,,1891
226,,1912
227,,1920
228,,1942
229,,1843
230,,1831
231,,1863
232,,1781
233,,1794
234,,1869
235,,1887
236,,1743
237,,1821
238,,1762
239,,1768
240,,1782
241,,1731
242,,1722
243,,1718
244,,1711
245,,1663
246,,1749
247,,1700
248,,1744
249,,1774
250,,1697
251,,1759
252,,1584
253,,1656
254,,1736
255,,1693
256,,1614
257,,1709
258,,1650
259,,1688
260,,1499
261,,1623
262,,1543
263,,1560
264,,1598
265,,1604
266,,1661
267,,1569
268,,1588
269,,1572
270,,1500
271,,1533
272,,1534
273,,1484
274,,1521
275,,1555
276,,1549
277,,1471
278,,1520
279,,1423
280,,1518
281,,1436
282,,1433
283,,1384
284,,1407
285,,1461
286,,1431
287,,1468
288,,1431
289,,1390
290,,1442
291,,1390
292,,1345
293,,1402
294,,1312
295,,1484
296,,1338
297,,1324
298,,1307
299,,1385
300,,1364
301,,1294
302,,1359
303,,1316
304,,1335
305,,1370
306,,1283
307,,1275
308,,1358
309,,1295
310,,1331
311,,1293
312,,1278
313,,1337
314,,1287
315,,1282
316,,1198
317,,1224
318,,1317
319,,1327
320,,1262
321,,1275
322,,1241
323,,1249
324,,1257
325,,1259
326,,1245
327,,1276
328,,1211
329,,1247
330,,1210
331,,1227
332,,1228
333,,1184
334,,1225
335,,1131
336,,1139
337,,1213
338,,1228
339,,1132
340,,1224
341,,1180
342,,1211
343,,1144
344,,1147
345,,1219
346,,1204
347,,1195
348,,1158
349,,1188
350,,1186
351,,1215
352,,1132
353,,1179
354,,1179
355,,1128
356,,1164
357,,1211
358,,1200
359,,1148
360,,1178
361,,1091
362,,1114
363,,1177
364,,1152
365,,1154
366,,1164
367,,1159
368,,1194
369,,1151
370,,1163
371,,1197
372,,1187
373,,1148
374,,1119
375,,1139
376,,1163
377,,1178
378,,1141
379,,1085
380,,1127
381,,1088
382,,1130
383,,1130
384,,1127
385,,1144
386,,1052
387,,1108
388,,1098
389,,1134
390,,1168
391,,1086
392,,1054
393,,1085
394,,1081
395,,1094
396,,996
397,,1072
398,,1071
399,,1118
400,,1064
401,,1037
402,,1117
403,,1094
404,,1056
405,,1057
406,,1079
407,,996
408,,1070
409,,1041
410,,1050
411,,1019
412,,1007
413,,1082
414,,1031
415,,1024
416,,1052
417,,1086
418,,1078
419,,1030
420,,1035
421,,1066
422,,1015
423,,1073
424,,1001
425,,994
426,,985
427,,1077
428,,987
429,,1039
430,,1031
431,,1017
432,,988
433,,984
434,,1003
435,,1053
436,,1070
437,,994
438,,1026
439,,1020
440,,975
441,,1001
442,,1004
443,,1023
444,,1027
445,,1029
446,,997
447,,997
448,,1026
