Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1250
Conversion Gain:,1024
Coarse Gain:,16
Fine Gain:,1.25
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,181.97
Elapsed Live Time:,144.3
Start Time:,November 11, 2020, 11:26:12
End Time:,November 11, 2020, 11:29:15
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,2
2,,7
3,,36
4,,1425
5,,2995
6,,306
7,,299
8,,456
9,,1728
10,,5054
11,,6494
12,,7990
13,,9715
14,,11567
15,,13530
16,,15321
17,,16552
18,,16492
19,,16288
20,,16441
21,,15992
22,,16017
23,,15570
24,,15396
25,,15231
26,,15114
27,,14971
28,,15118
29,,15368
30,,14922
31,,14744
32,,14630
33,,14262
34,,14253
35,,14078
36,,13673
37,,13400
38,,13328
39,,12915
40,,12875
41,,12735
42,,12490
43,,12117
44,,12172
45,,11624
46,,11465
47,,11140
48,,11176
49,,10969
50,,10590
51,,10652
52,,10608
53,,10274
54,,10384
55,,9961
56,,9837
57,,9731
58,,9749
59,,9727
60,,9738
61,,9591
62,,9343
63,,9221
64,,9478
65,,9200
66,,9075
67,,8695
68,,8764
69,,8436
70,,8380
71,,8070
72,,7924
73,,7902
74,,7768
75,,7696
76,,7504
77,,7454
78,,7554
79,,7266
80,,7163
81,,6981
82,,7076
83,,6910
84,,6848
85,,6680
86,,6656
87,,6782
88,,6479
89,,6532
90,,6474
91,,6523
92,,6440
93,,6509
94,,6468
95,,6573
96,,6477
97,,6402
98,,6491
99,,6574
100,,6539
101,,6514
102,,6556
103,,6531
104,,6520
105,,6555
106,,6464
107,,6683
108,,6616
109,,6722
110,,6567
111,,6620
112,,6594
113,,6531
114,,6619
115,,6639
116,,6594
117,,6534
118,,6512
119,,6447
120,,6392
121,,6347
122,,6290
123,,6276
124,,6136
125,,6175
126,,5934
127,,5934
128,,5737
129,,5711
130,,5517
131,,5504
132,,5540
133,,5303
134,,5223
135,,5197
136,,5083
137,,5081
138,,4955
139,,4929
140,,4858
141,,4864
142,,4760
143,,4788
144,,4747
145,,4778
146,,4824
147,,4792
148,,4816
149,,4783
150,,4843
151,,4906
152,,4810
153,,4712
154,,4764
155,,4799
156,,4859
157,,4784
158,,4779
159,,4765
160,,4785
161,,4620
162,,4470
163,,4535
164,,4290
165,,4217
166,,4227
167,,4183
168,,4020
169,,4013
170,,3819
171,,3740
172,,3646
173,,3447
174,,3441
175,,3261
176,,3262
177,,3136
178,,3137
179,,3159
180,,3204
181,,3011
182,,2974
183,,2934
184,,2969
185,,2924
186,,2955
187,,2841
188,,2830
189,,2905
190,,3000
191,,2875
192,,2813
193,,2949
194,,2864
195,,2957
196,,2813
197,,2765
198,,2812
199,,2711
200,,2825
201,,2728
202,,2750
203,,2758
204,,2732
205,,2692
206,,2722
207,,2661
208,,2641
209,,2628
210,,2676
211,,2548
212,,2694
213,,2613
214,,2650
215,,2478
216,,2532
217,,2491
218,,2401
219,,2508
220,,2397
221,,2381
222,,2392
223,,2291
224,,2339
225,,2314
226,,2260
227,,2276
228,,2258
229,,2202
230,,2309
231,,2228
232,,2204
233,,2241
234,,2144
235,,2045
236,,2186
237,,2065
238,,2229
239,,2073
240,,2015
241,,2034
242,,2043
243,,1981
244,,1946
245,,1968
246,,1906
247,,1903
248,,1818
249,,2033
250,,1904
251,,1987
252,,1916
253,,1912
254,,1937
255,,1839
256,,1906
257,,1779
258,,1874
259,,1858
260,,1822
261,,1807
262,,1762
263,,1838
264,,1755
265,,1830
266,,1771
267,,1737
268,,1728
269,,1762
270,,1724
271,,1678
272,,1634
273,,1727
274,,1658
275,,1646
276,,1603
277,,1697
278,,1598
279,,1625
280,,1623
281,,1681
282,,1557
283,,1552
284,,1565
285,,1546
286,,1520
287,,1595
288,,1592
289,,1471
290,,1464
291,,1427
292,,1469
293,,1467
294,,1504
295,,1451
296,,1466
297,,1490
298,,1426
299,,1443
300,,1427
301,,1314
302,,1458
303,,1359
304,,1395
305,,1401
306,,1360
307,,1380
308,,1436
309,,1359
310,,1356
311,,1430
312,,1377
313,,1402
314,,1341
315,,1446
316,,1346
317,,1375
318,,1300
319,,1364
320,,1385
321,,1300
322,,1351
323,,1313
324,,1365
325,,1283
326,,1310
327,,1336
328,,1341
329,,1310
330,,1279
331,,1227
332,,1343
333,,1269
334,,1296
335,,1209
336,,1277
337,,1318
338,,1257
339,,1242
340,,1306
341,,1231
342,,1273
343,,1247
344,,1328
345,,1280
346,,1314
347,,1256
348,,1293
349,,1271
350,,1305
351,,1274
352,,1294
353,,1250
354,,1324
355,,1230
356,,1279
357,,1294
358,,1235
359,,1248
360,,1233
361,,1264
362,,1220
363,,1247
364,,1277
365,,1258
366,,1271
367,,1271
368,,1294
369,,1280
370,,1253
371,,1159
372,,1212
373,,1182
374,,1209
375,,1188
376,,1161
377,,1249
378,,1208
379,,1254
380,,1256
381,,1201
382,,1202
383,,1201
384,,1173
385,,1178
386,,1179
387,,1132
388,,1146
389,,1148
390,,1198
391,,1181
392,,1149
393,,1202
394,,1228
395,,1150
396,,1148
397,,1123
398,,1147
399,,1144
400,,1112
401,,1175
402,,1140
403,,1100
404,,1188
405,,1083
406,,1115
407,,1118
408,,1087
409,,1115
410,,1115
411,,1208
412,,1073
413,,1094
414,,1103
415,,1117
416,,1086
417,,1105
418,,1054
419,,1120
420,,1107
421,,1125
422,,1096
423,,1112
424,,1050
425,,1098
426,,1065
427,,1125
428,,1060
429,,1073
430,,1061
431,,1063
432,,1069
433,,1059
434,,1105
435,,1086
436,,1052
437,,1057
438,,1029
439,,1063
440,,1058
441,,1047
442,,1044
443,,1057
444,,1064
445,,1113
446,,1110
447,,1046
448,,1006
449,,1072
450,,1055
451,,1025
452,,1036
453,,1069
454,,1023
455,,1011
456,,1040
457,,1078
458,,970
459,,992
460,,1018
461,,990
462,,1005
463,,1004
464,,1007
465,,951
466,,999
467,,1013
468,,1008
469,,1023
470,,996
471,,971
472,,1075
473,,923
474,,976
475,,973
476,,1065
477,,1010
478,,1006
479,,979
480,,1043
481,,1006
482,,976
483,,1011
484,,956
485,,976
486,,964
487,,986
488,,947
489,,929
490,,1004
491,,987
492,,987
493,,984
494,,949
495,,1000
496,,1040
497,,945
498,,1023
499,,948
500,,956
501,,969
502,,983
503,,976
504,,984
505,,921
506,,977
507,,1009
508,,1024
509,,946
510,,958
511,,998
512,,983
513,,1010
514,,992
515,,1008
516,,1029
517,,959
518,,1057
519,,953
520,,1006
521,,1045
522,,1005
523,,1014
524,,1004
525,,1037
526,,992
527,,1020
528,,1033
529,,1014
530,,1025
531,,994
532,,1025
533,,974
534,,1023
535,,986
536,,994
537,,962
538,,1023
539,,1043
540,,953
541,,998
542,,1002
543,,971
544,,1012
545,,999
546,,985
547,,940
548,,1008
549,,962
550,,936
551,,930
552,,958
553,,941
554,,929
555,,961
556,,946
557,,934
558,,919
559,,935
560,,887
561,,905
562,,913
563,,872
564,,884
565,,885
566,,867
567,,857
568,,878
569,,909
570,,908
571,,924
572,,878
573,,877
574,,872
575,,851
576,,834
577,,820
578,,811
579,,852
580,,874
581,,793
582,,777
583,,837
584,,792
585,,863
586,,850
587,,844
588,,835
589,,803
590,,769
591,,834
592,,810
593,,826
594,,806
595,,765
596,,774
597,,726
598,,765
599,,804
600,,767
601,,794
602,,765
603,,781
604,,737
605,,764
606,,777
607,,761
608,,704
609,,797
610,,755
611,,752
612,,758
613,,738
614,,703
615,,771
616,,797
617,,796
618,,773
619,,809
620,,787
621,,774
622,,818
623,,797
624,,794
625,,789
626,,796
627,,801
628,,765
629,,831
630,,780
631,,805
632,,815
633,,834
634,,868
635,,814
636,,875
637,,875
638,,896
639,,869
640,,911
641,,906
642,,977
643,,942
644,,1025
645,,955
646,,918
647,,966
648,,932
649,,1003
650,,1036
651,,1019
652,,1033
653,,1045
654,,1045
655,,1156
656,,1099
657,,1173
658,,1150
659,,1181
660,,1257
661,,1190
662,,1264
663,,1221
664,,1309
665,,1267
666,,1284
667,,1331
668,,1293
669,,1315
670,,1329
671,,1361
672,,1350
673,,1355
674,,1348
675,,1351
676,,1313
677,,1364
678,,1328
679,,1396
680,,1307
681,,1369
682,,1342
683,,1316
684,,1330
685,,1379
686,,1362
687,,1288
688,,1332
689,,1388
690,,1299
691,,1268
692,,1234
693,,1224
694,,1203
695,,1236
696,,1250
697,,1105
698,,1169
699,,1143
700,,1120
701,,1097
702,,1084
703,,1049
704,,1002
705,,975
706,,902
707,,997
708,,918
709,,900
710,,846
711,,827
712,,840
713,,819
714,,830
715,,728
716,,730
717,,718
718,,710
719,,631
720,,665
721,,658
722,,653
723,,638
724,,618
725,,550
726,,585
727,,557
728,,521
729,,491
730,,480
731,,447
732,,490
733,,483
734,,483
735,,459
736,,433
737,,431
738,,436
739,,385
740,,373
741,,381
742,,373
743,,353
744,,387
745,,362
746,,353
747,,394
748,,366
749,,365
750,,367
751,,337
752,,331
753,,387
754,,354
755,,335
756,,354
757,,346
758,,344
759,,357
760,,334
761,,332
762,,309
763,,358
764,,295
765,,330
766,,337
767,,317
768,,343
769,,355
770,,317
771,,325
772,,349
773,,350
774,,336
775,,351
776,,328
777,,303
778,,306
779,,299
780,,322
781,,310
782,,333
783,,313
784,,313
785,,332
786,,318
787,,301
788,,313
789,,295
790,,310
791,,308
792,,315
793,,343
794,,315
795,,277
796,,311
797,,301
798,,339
799,,312
800,,328
801,,332
802,,308
803,,346
804,,312
805,,324
806,,286
807,,325
808,,301
809,,301
810,,295
811,,288
812,,278
813,,304
814,,291
815,,307
816,,341
817,,306
818,,283
819,,305
820,,333
821,,300
822,,323
823,,319
824,,311
825,,302
826,,275
827,,308
828,,322
829,,295
830,,295
831,,310
832,,278
833,,305
834,,285
835,,304
836,,313
837,,308
838,,292
839,,325
840,,299
841,,318
842,,273
843,,289
844,,285
845,,288
846,,288
847,,274
848,,315
849,,292
850,,265
851,,290
852,,268
853,,287
854,,280
855,,274
856,,255
857,,289
858,,271
859,,251
860,,290
861,,295
862,,284
863,,288
864,,284
865,,305
866,,275
867,,272
868,,285
869,,252
870,,288
871,,314
872,,293
873,,277
874,,293
