Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1250
Conversion Gain:,1024
Coarse Gain:,16
Fine Gain:,1.25
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,31.09
Elapsed Live Time:,25.54
Start Time:,November 11, 2020, 10:08:22
End Time:,November 11, 2020, 10:08:53
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,5
4,,222
5,,207
6,,23
7,,14
8,,43
9,,153
10,,481
11,,590
12,,755
13,,849
14,,1009
15,,1231
16,,1359
17,,1559
18,,1645
19,,1732
20,,1856
21,,1902
22,,1847
23,,1816
24,,1782
25,,1595
26,,1588
27,,1425
28,,1388
29,,1280
30,,1259
31,,1195
32,,1197
33,,1152
34,,1105
35,,1068
36,,1078
37,,1026
38,,999
39,,1019
40,,998
41,,991
42,,909
43,,982
44,,983
45,,991
46,,918
47,,909
48,,917
49,,859
50,,898
51,,884
52,,931
53,,902
54,,862
55,,941
56,,845
57,,891
58,,913
59,,898
60,,929
61,,926
62,,881
63,,899
64,,841
65,,875
66,,904
67,,898
68,,887
69,,828
70,,892
71,,902
72,,837
73,,863
74,,804
75,,876
76,,840
77,,802
78,,802
79,,815
80,,793
81,,767
82,,755
83,,790
84,,748
85,,727
86,,762
87,,693
88,,735
89,,761
90,,701
91,,745
92,,709
93,,748
94,,727
95,,674
96,,716
97,,687
98,,670
99,,687
100,,624
101,,614
102,,616
103,,563
104,,558
105,,565
106,,557
107,,517
108,,578
109,,549
110,,493
111,,477
112,,495
113,,459
114,,436
115,,478
116,,429
117,,422
118,,406
119,,380
120,,435
121,,393
122,,402
123,,386
124,,383
125,,445
126,,399
127,,387
128,,359
129,,402
130,,389
131,,388
132,,369
133,,394
134,,413
135,,470
136,,490
137,,514
138,,537
139,,604
140,,609
141,,728
142,,750
143,,923
144,,937
145,,1142
146,,1288
147,,1353
148,,1640
149,,1657
150,,1819
151,,2061
152,,2225
153,,2330
154,,2512
155,,2704
156,,2748
157,,2749
158,,2932
159,,2877
160,,2885
161,,2840
162,,2749
163,,2812
164,,2589
165,,2468
166,,2380
167,,2209
168,,2089
169,,1824
170,,1615
171,,1540
172,,1386
173,,1107
174,,1046
175,,860
176,,780
177,,657
178,,569
179,,489
180,,460
181,,390
182,,330
183,,300
184,,250
185,,261
186,,202
187,,180
188,,191
189,,207
190,,206
191,,160
192,,175
193,,152
194,,151
195,,158
196,,155
197,,170
198,,154
199,,127
200,,161
201,,150
202,,152
203,,129
204,,156
205,,146
206,,135
207,,156
208,,172
209,,157
210,,151
211,,129
212,,146
213,,148
214,,132
215,,139
216,,130
217,,133
218,,117
219,,134
220,,151
221,,138
222,,135
223,,145
224,,150
225,,137
226,,154
227,,135
228,,140
229,,130
230,,116
231,,138
232,,144
233,,126
234,,145
235,,135
236,,124
237,,139
238,,164
239,,127
240,,135
241,,123
242,,141
243,,138
244,,138
245,,126
246,,139
247,,108
248,,131
249,,166
250,,148
251,,147
252,,142
253,,131
254,,121
255,,157
256,,136
257,,138
258,,131
259,,128
260,,109
261,,136
262,,139
263,,135
264,,112
265,,110
266,,143
267,,135
268,,136
269,,115
270,,139
271,,123
272,,120
273,,130
274,,122
275,,135
276,,120
277,,121
278,,131
279,,123
280,,101
281,,133
282,,115
283,,131
284,,123
285,,122
286,,123
287,,147
288,,106
289,,117
290,,126
291,,121
292,,124
293,,131
294,,122
295,,126
296,,121
297,,122
298,,112
299,,117
300,,124
301,,120
302,,96
303,,115
304,,120
305,,115
306,,106
307,,113
308,,119
309,,106
310,,127
311,,126
312,,121
313,,128
314,,110
315,,108
316,,120
317,,110
318,,121
319,,118
320,,102
321,,105
322,,104
323,,108
324,,108
325,,114
326,,96
327,,101
328,,98
329,,90
330,,95
331,,86
332,,85
333,,88
334,,105
335,,82
336,,74
337,,92
338,,87
339,,96
340,,77
341,,72
342,,91
343,,81
344,,89
345,,75
346,,75
347,,85
348,,67
349,,88
350,,63
351,,70
352,,94
353,,98
354,,85
355,,97
356,,104
357,,105
358,,96
359,,103
360,,111
361,,119
362,,120
363,,130
364,,148
